sample_id,task_id,problem_id,model_name,model_id,prompt_name,repeat_idx,original_humaneval_passed,original_execution_success,original_error_type,original_error_message,evalplus_base_status,evalplus_base_fail_tests,evalplus_plus_status,evalplus_plus_fail_tests
humaneval_032__deepseek_model__basic__r3.json,HumanEval/32,humaneval_032,deepseek_model,deepseek-chat,basic,3,True,True,,,fail,[],fail,"[[[5, 10, -3, 1]]]"
humaneval_032__deepseek_model__concise__r1.json,HumanEval/32,humaneval_032,deepseek_model,deepseek-chat,concise,1,True,True,,,fail,[],fail,"[[[5, 10, -3, 1]]]"
humaneval_032__deepseek_model__concise__r2.json,HumanEval/32,humaneval_032,deepseek_model,deepseek-chat,concise,2,True,True,,,fail,[],fail,"[[[5, 10, -3, 1]]]"
humaneval_032__deepseek_model__concise__r3.json,HumanEval/32,humaneval_032,deepseek_model,deepseek-chat,concise,3,True,True,,,fail,[],fail,"[[[5, 10, -3, 1]]]"
humaneval_032__deepseek_model__concise__r4.json,HumanEval/32,humaneval_032,deepseek_model,deepseek-chat,concise,4,True,True,,,fail,[],fail,"[[[5, 10, -3, 1]]]"
humaneval_032__deepseek_model__concise__r5.json,HumanEval/32,humaneval_032,deepseek_model,deepseek-chat,concise,5,True,True,,,fail,[],fail,"[[[5, 10, -3, 1]]]"
humaneval_032__deepseek_model__constraint__r1.json,HumanEval/32,humaneval_032,deepseek_model,deepseek-chat,constraint,1,True,True,,,fail,[],fail,[]
humaneval_032__deepseek_model__constraint__r2.json,HumanEval/32,humaneval_032,deepseek_model,deepseek-chat,constraint,2,True,True,,,fail,[],fail,[]
humaneval_032__deepseek_model__constraint__r3.json,HumanEval/32,humaneval_032,deepseek_model,deepseek-chat,constraint,3,True,True,,,fail,[],fail,"[[[5, 10, -3, 1]]]"
humaneval_032__deepseek_model__constraint__r4.json,HumanEval/32,humaneval_032,deepseek_model,deepseek-chat,constraint,4,True,True,,,fail,[],fail,"[[[5, 10, -3, 1]]]"
humaneval_032__deepseek_model__constraint__r5.json,HumanEval/32,humaneval_032,deepseek_model,deepseek-chat,constraint,5,True,True,,,fail,[],fail,[]
humaneval_032__deepseek_model__optimized__r1.json,HumanEval/32,humaneval_032,deepseek_model,deepseek-chat,optimized,1,True,True,,,fail,[],fail,"[[[5, 10, -3, 1]]]"
humaneval_032__deepseek_model__optimized__r2.json,HumanEval/32,humaneval_032,deepseek_model,deepseek-chat,optimized,2,True,True,,,fail,[],fail,"[[[5, 10, -3, 1]]]"
humaneval_032__deepseek_model__optimized__r4.json,HumanEval/32,humaneval_032,deepseek_model,deepseek-chat,optimized,4,True,True,,,fail,[],fail,"[[[5, 10, -3, 1]]]"
humaneval_032__deepseek_model__readable__r1.json,HumanEval/32,humaneval_032,deepseek_model,deepseek-chat,readable,1,True,True,,,fail,[],fail,"[[[5, 10, -3, 1]]]"
humaneval_032__deepseek_model__readable__r2.json,HumanEval/32,humaneval_032,deepseek_model,deepseek-chat,readable,2,True,True,,,fail,[],fail,"[[[5, 10, -3, 1]]]"
humaneval_032__deepseek_model__readable__r3.json,HumanEval/32,humaneval_032,deepseek_model,deepseek-chat,readable,3,True,True,,,fail,[],fail,"[[[5, 10, -3, 1]]]"
humaneval_032__deepseek_model__readable__r4.json,HumanEval/32,humaneval_032,deepseek_model,deepseek-chat,readable,4,True,True,,,fail,[],fail,"[[[5, 10, -3, 1]]]"
humaneval_032__gpt5_model__basic__r1.json,HumanEval/32,humaneval_032,gpt5_model,gpt-5-mini,basic,1,True,True,,,fail,[],fail,"[[[5, 10, -3, 1]]]"
humaneval_032__gpt5_model__basic__r2.json,HumanEval/32,humaneval_032,gpt5_model,gpt-5-mini,basic,2,True,True,,,fail,[],fail,"[[[5, 10, -3, 1]]]"
humaneval_032__gpt5_model__basic__r4.json,HumanEval/32,humaneval_032,gpt5_model,gpt-5-mini,basic,4,True,True,,,fail,[],fail,"[[[5, 10, -3, 1]]]"
humaneval_032__gpt5_model__basic__r5.json,HumanEval/32,humaneval_032,gpt5_model,gpt-5-mini,basic,5,True,True,,,fail,[],fail,"[[[5, 10, -3, 1]]]"
humaneval_032__gpt5_model__concise__r1.json,HumanEval/32,humaneval_032,gpt5_model,gpt-5-mini,concise,1,True,True,,,fail,[],fail,"[[[5, 10, -3, 1]]]"
humaneval_032__gpt5_model__concise__r2.json,HumanEval/32,humaneval_032,gpt5_model,gpt-5-mini,concise,2,True,True,,,fail,[],fail,"[[[5, 10, -3, 1]]]"
humaneval_032__gpt5_model__concise__r3.json,HumanEval/32,humaneval_032,gpt5_model,gpt-5-mini,concise,3,True,True,,,fail,[],fail,"[[[5, 10, -3, 1]]]"
humaneval_032__gpt5_model__concise__r4.json,HumanEval/32,humaneval_032,gpt5_model,gpt-5-mini,concise,4,True,True,,,fail,[],fail,"[[[5, 10, -3, 1]]]"
humaneval_032__gpt5_model__concise__r5.json,HumanEval/32,humaneval_032,gpt5_model,gpt-5-mini,concise,5,True,True,,,fail,[],fail,"[[[5, 10, -3, 1]]]"
humaneval_032__gpt5_model__constraint__r1.json,HumanEval/32,humaneval_032,gpt5_model,gpt-5-mini,constraint,1,True,True,,,fail,[],fail,"[[[5, 10, -3, 1]]]"
humaneval_032__gpt5_model__constraint__r2.json,HumanEval/32,humaneval_032,gpt5_model,gpt-5-mini,constraint,2,True,True,,,fail,[],fail,"[[[5, 10, -3, 1]]]"
humaneval_032__gpt5_model__constraint__r3.json,HumanEval/32,humaneval_032,gpt5_model,gpt-5-mini,constraint,3,True,True,,,fail,[],fail,"[[[5, 10, -3, 1]]]"
humaneval_032__gpt5_model__constraint__r4.json,HumanEval/32,humaneval_032,gpt5_model,gpt-5-mini,constraint,4,True,True,,,fail,[],fail,"[[[5, 10, -3, 1]]]"
humaneval_032__gpt5_model__constraint__r5.json,HumanEval/32,humaneval_032,gpt5_model,gpt-5-mini,constraint,5,True,True,,,fail,[],fail,"[[[5, 10, -3, 1]]]"
humaneval_032__gpt5_model__optimized__r2.json,HumanEval/32,humaneval_032,gpt5_model,gpt-5-mini,optimized,2,True,True,,,fail,[],fail,"[[[5, 10, -3, 1]]]"
humaneval_032__gpt5_model__optimized__r3.json,HumanEval/32,humaneval_032,gpt5_model,gpt-5-mini,optimized,3,True,True,,,fail,[],fail,"[[[5, 10, -3, 1]]]"
humaneval_032__gpt5_model__optimized__r5.json,HumanEval/32,humaneval_032,gpt5_model,gpt-5-mini,optimized,5,True,True,,,fail,[],fail,"[[[5, 10, -3, 1]]]"
humaneval_032__gpt5_model__readable__r1.json,HumanEval/32,humaneval_032,gpt5_model,gpt-5-mini,readable,1,True,True,,,fail,[],fail,"[[[5, 10, -3, 1]]]"
humaneval_032__gpt5_model__readable__r2.json,HumanEval/32,humaneval_032,gpt5_model,gpt-5-mini,readable,2,True,True,,,fail,[],fail,"[[[5, 10, -3, 1]]]"
humaneval_032__gpt5_model__readable__r4.json,HumanEval/32,humaneval_032,gpt5_model,gpt-5-mini,readable,4,True,True,,,fail,[],fail,"[[[5, 10, -3, 1]]]"
humaneval_032__gpt5_model__readable__r5.json,HumanEval/32,humaneval_032,gpt5_model,gpt-5-mini,readable,5,True,True,,,fail,[],fail,"[[[5, 10, -3, 1]]]"
humaneval_038__deepseek_model__concise__r5.json,HumanEval/38,humaneval_038,deepseek_model,deepseek-chat,concise,5,False,False,NameError,name 'encode_cyclic' is not defined,pass,[],pass,[]
humaneval_038__deepseek_model__optimized__r1.json,HumanEval/38,humaneval_038,deepseek_model,deepseek-chat,optimized,1,False,False,NameError,name 'encode_cyclic' is not defined,pass,[],pass,[]
humaneval_038__deepseek_model__optimized__r2.json,HumanEval/38,humaneval_038,deepseek_model,deepseek-chat,optimized,2,False,False,NameError,name 'encode_cyclic' is not defined,pass,[],pass,[]
humaneval_038__deepseek_model__optimized__r3.json,HumanEval/38,humaneval_038,deepseek_model,deepseek-chat,optimized,3,False,False,NameError,name 'encode_cyclic' is not defined,pass,[],pass,[]
humaneval_038__deepseek_model__optimized__r4.json,HumanEval/38,humaneval_038,deepseek_model,deepseek-chat,optimized,4,False,False,NameError,name 'encode_cyclic' is not defined,pass,[],pass,[]
humaneval_038__deepseek_model__optimized__r5.json,HumanEval/38,humaneval_038,deepseek_model,deepseek-chat,optimized,5,False,False,NameError,name 'encode_cyclic' is not defined,pass,[],pass,[]
humaneval_075__gpt5_model__concise__r3.json,HumanEval/75,humaneval_075,gpt5_model,gpt-5-mini,concise,3,False,False,AssertionError,,pass,[],pass,[]
humaneval_095__claude_model__basic__r1.json,HumanEval/95,humaneval_095,claude_model,claude-sonnet-4-6,basic,1,True,True,,,fail,"[[{""p"": ""pineapple"", ""5"": ""banana"", ""a"": ""apple""}]]",fail,"[[{""1"": ""apple"", ""2"": ""banana"", ""3"": ""cherry""}]]"
humaneval_095__claude_model__optimized__r1.json,HumanEval/95,humaneval_095,claude_model,claude-sonnet-4-6,optimized,1,True,True,,,fail,"[[{""p"": ""pineapple"", ""5"": ""banana"", ""a"": ""apple""}]]",fail,"[[{""1"": ""apple"", ""2"": ""banana"", ""3"": ""cherry""}]]"
humaneval_095__claude_model__optimized__r5.json,HumanEval/95,humaneval_095,claude_model,claude-sonnet-4-6,optimized,5,True,True,,,fail,"[[{""p"": ""pineapple"", ""5"": ""banana"", ""a"": ""apple""}]]",fail,"[[{""1"": ""apple"", ""2"": ""banana"", ""3"": ""cherry""}]]"
humaneval_095__claude_model__readable__r3.json,HumanEval/95,humaneval_095,claude_model,claude-sonnet-4-6,readable,3,True,True,,,fail,"[[{""p"": ""pineapple"", ""5"": ""banana"", ""a"": ""apple""}]]",fail,"[[{""1"": ""apple"", ""2"": ""banana"", ""3"": ""cherry""}]]"
humaneval_095__deepseek_model__optimized__r3.json,HumanEval/95,humaneval_095,deepseek_model,deepseek-chat,optimized,3,True,True,,,fail,"[[{""p"": ""pineapple"", ""5"": ""banana"", ""a"": ""apple""}]]",fail,"[[{""1"": ""apple"", ""2"": ""banana"", ""3"": ""cherry""}]]"
humaneval_095__deepseek_model__optimized__r5.json,HumanEval/95,humaneval_095,deepseek_model,deepseek-chat,optimized,5,True,True,,,fail,"[[{""p"": ""pineapple"", ""5"": ""banana"", ""a"": ""apple""}]]",fail,"[[{""1"": ""apple"", ""2"": ""banana"", ""3"": ""cherry""}]]"
humaneval_095__deepseek_model__readable__r1.json,HumanEval/95,humaneval_095,deepseek_model,deepseek-chat,readable,1,True,True,,,fail,"[[{""p"": ""pineapple"", ""5"": ""banana"", ""a"": ""apple""}]]",fail,"[[{""1"": ""apple"", ""2"": ""banana"", ""3"": ""cherry""}]]"
humaneval_095__deepseek_model__readable__r2.json,HumanEval/95,humaneval_095,deepseek_model,deepseek-chat,readable,2,True,True,,,fail,"[[{""p"": ""pineapple"", ""5"": ""banana"", ""a"": ""apple""}]]",fail,"[[{""1"": ""apple"", ""2"": ""banana"", ""3"": ""cherry""}]]"
humaneval_095__deepseek_model__readable__r3.json,HumanEval/95,humaneval_095,deepseek_model,deepseek-chat,readable,3,True,True,,,fail,"[[{""p"": ""pineapple"", ""5"": ""banana"", ""a"": ""apple""}]]",fail,"[[{""1"": ""apple"", ""2"": ""banana"", ""3"": ""cherry""}]]"
humaneval_095__deepseek_model__readable__r4.json,HumanEval/95,humaneval_095,deepseek_model,deepseek-chat,readable,4,True,True,,,fail,"[[{""p"": ""pineapple"", ""5"": ""banana"", ""a"": ""apple""}]]",fail,"[[{""1"": ""apple"", ""2"": ""banana"", ""3"": ""cherry""}]]"
humaneval_095__deepseek_model__readable__r5.json,HumanEval/95,humaneval_095,deepseek_model,deepseek-chat,readable,5,True,True,,,fail,"[[{""p"": ""pineapple"", ""5"": ""banana"", ""a"": ""apple""}]]",fail,"[[{""1"": ""apple"", ""2"": ""banana"", ""3"": ""cherry""}]]"
humaneval_095__gpt5_model__basic__r4.json,HumanEval/95,humaneval_095,gpt5_model,gpt-5-mini,basic,4,True,True,,,fail,"[[{""p"": ""pineapple"", ""5"": ""banana"", ""a"": ""apple""}]]",fail,"[[{""1"": ""apple"", ""2"": ""banana"", ""3"": ""cherry""}]]"
humaneval_095__gpt5_model__concise__r1.json,HumanEval/95,humaneval_095,gpt5_model,gpt-5-mini,concise,1,True,True,,,fail,"[[{""p"": ""pineapple"", ""5"": ""banana"", ""a"": ""apple""}]]",fail,"[[{""1"": ""apple"", ""2"": ""banana"", ""3"": ""cherry""}]]"
humaneval_095__gpt5_model__concise__r2.json,HumanEval/95,humaneval_095,gpt5_model,gpt-5-mini,concise,2,True,True,,,fail,"[[{""p"": ""pineapple"", ""5"": ""banana"", ""a"": ""apple""}]]",fail,"[[{""1"": ""apple"", ""2"": ""banana"", ""3"": ""cherry""}]]"
humaneval_095__gpt5_model__concise__r3.json,HumanEval/95,humaneval_095,gpt5_model,gpt-5-mini,concise,3,True,True,,,fail,"[[{""p"": ""pineapple"", ""5"": ""banana"", ""a"": ""apple""}]]",fail,"[[{""1"": ""apple"", ""2"": ""banana"", ""3"": ""cherry""}]]"
humaneval_095__gpt5_model__concise__r5.json,HumanEval/95,humaneval_095,gpt5_model,gpt-5-mini,concise,5,True,True,,,fail,"[[{""p"": ""pineapple"", ""5"": ""banana"", ""a"": ""apple""}]]",fail,"[[{""1"": ""apple"", ""2"": ""banana"", ""3"": ""cherry""}]]"
humaneval_095__gpt5_model__constraint__r2.json,HumanEval/95,humaneval_095,gpt5_model,gpt-5-mini,constraint,2,True,True,,,fail,"[[{""p"": ""pineapple"", ""5"": ""banana"", ""a"": ""apple""}]]",fail,"[[{""1"": ""apple"", ""2"": ""banana"", ""3"": ""cherry""}]]"
humaneval_095__gpt5_model__constraint__r5.json,HumanEval/95,humaneval_095,gpt5_model,gpt-5-mini,constraint,5,True,True,,,fail,"[[{""p"": ""pineapple"", ""5"": ""banana"", ""a"": ""apple""}]]",fail,"[[{""FIRST_NAME"": ""John"", ""LAST_NAME"": ""DOE"", ""AGE"": 35, ""CITY"": ""NK"", ""INCOME"": ""$50,000"", ""1"": 35}]]"
humaneval_095__gpt5_model__optimized__r2.json,HumanEval/95,humaneval_095,gpt5_model,gpt-5-mini,optimized,2,True,True,,,fail,"[[{""p"": ""pineapple"", ""5"": ""banana"", ""a"": ""apple""}]]",fail,"[[{""1"": ""apple"", ""2"": ""banana"", ""3"": ""cherry""}]]"
humaneval_095__gpt5_model__optimized__r4.json,HumanEval/95,humaneval_095,gpt5_model,gpt-5-mini,optimized,4,True,True,,,fail,"[[{""p"": ""pineapple"", ""5"": ""banana"", ""a"": ""apple""}]]",fail,"[[{""1"": ""apple"", ""2"": ""banana"", ""3"": ""cherry""}]]"
humaneval_095__gpt5_model__readable__r1.json,HumanEval/95,humaneval_095,gpt5_model,gpt-5-mini,readable,1,True,True,,,fail,"[[{""p"": ""pineapple"", ""5"": ""banana"", ""a"": ""apple""}]]",fail,"[[{""1"": ""apple"", ""2"": ""banana"", ""3"": ""cherry""}]]"
humaneval_095__gpt5_model__readable__r5.json,HumanEval/95,humaneval_095,gpt5_model,gpt-5-mini,readable,5,True,True,,,fail,"[[{""p"": ""pineapple"", ""5"": ""banana"", ""a"": ""apple""}]]",fail,"[[{""1"": ""apple"", ""2"": ""banana"", ""3"": ""cherry""}]]"
