source_file,problem_id,model_name,prompt_name,repeat,legacy_parse_success,loc,sloc,comments,blank,cc_avg,cc_max,cc_sum,halstead_volume,halstead_difficulty,halstead_effort,halstead_vocabulary,halstead_length,halstead_bugs,maintainability_index,token_length,functional_pass
outputs\raw\humaneval_000__claude_model__constraint__r4.json,humaneval_000,claude_model,constraint,,True,16.0,7.0,0.0,2.0,4.0,4.0,4.0,28.529325012980813,1.5,42.793987519471216,9.0,9.0,0.009509775004326938,95.21435727015015,67,
outputs\raw\humaneval_000__claude_model__constraint__r5.json,humaneval_000,claude_model,constraint,,True,16.0,7.0,0.0,2.0,4.0,4.0,4.0,28.529325012980813,1.5,42.793987519471216,9.0,9.0,0.009509775004326938,95.21435727015015,67,
outputs\raw\humaneval_000__claude_model__optimized__r1.json,humaneval_000,claude_model,optimized,,True,9.0,7.0,0.0,2.0,3.0,3.0,3.0,39.863137138648355,1.7142857142857142,68.33680652339717,10.0,12.0,0.013287712379549451,69.95433047022944,32,
outputs\raw\humaneval_000__claude_model__optimized__r2.json,humaneval_000,claude_model,optimized,,True,9.0,7.0,0.0,2.0,3.0,3.0,3.0,39.863137138648355,1.7142857142857142,68.33680652339717,10.0,12.0,0.013287712379549451,69.95433047022944,32,
outputs\raw\humaneval_000__claude_model__optimized__r3.json,humaneval_000,claude_model,optimized,,True,9.0,7.0,0.0,2.0,3.0,3.0,3.0,39.863137138648355,1.7142857142857142,68.33680652339717,10.0,12.0,0.013287712379549451,69.95433047022944,32,
outputs\raw\humaneval_000__claude_model__optimized__r4.json,humaneval_000,claude_model,optimized,,True,9.0,7.0,0.0,2.0,3.0,3.0,3.0,39.863137138648355,1.7142857142857142,68.33680652339717,10.0,12.0,0.013287712379549451,69.95433047022944,32,
outputs\raw\humaneval_000__claude_model__optimized__r5.json,humaneval_000,claude_model,optimized,,True,9.0,7.0,0.0,2.0,3.0,3.0,3.0,39.863137138648355,1.7142857142857142,68.33680652339717,10.0,12.0,0.013287712379549451,69.95433047022944,32,
outputs\raw\humaneval_000__claude_model__readable__r1.json,humaneval_000,claude_model,readable,,True,17.0,8.0,0.0,2.0,4.0,4.0,4.0,28.529325012980813,1.5,42.793987519471216,9.0,9.0,0.009509775004326938,95.74405304053337,70,
outputs\raw\humaneval_000__claude_model__readable__r2.json,humaneval_000,claude_model,readable,,True,17.0,8.0,0.0,2.0,4.0,4.0,4.0,28.529325012980813,1.5,42.793987519471216,9.0,9.0,0.009509775004326938,95.74405304053337,70,
outputs\raw\humaneval_000__claude_model__readable__r3.json,humaneval_000,claude_model,readable,,True,17.0,8.0,0.0,2.0,4.0,4.0,4.0,28.529325012980813,1.5,42.793987519471216,9.0,9.0,0.009509775004326938,95.74405304053337,70,
outputs\raw\humaneval_000__claude_model__readable__r4.json,humaneval_000,claude_model,readable,,True,17.0,8.0,0.0,2.0,4.0,4.0,4.0,28.529325012980813,1.5,42.793987519471216,9.0,9.0,0.009509775004326938,95.74405304053337,70,
outputs\raw\humaneval_000__claude_model__readable__r5.json,humaneval_000,claude_model,readable,,True,17.0,8.0,0.0,2.0,4.0,4.0,4.0,28.529325012980813,1.5,42.793987519471216,9.0,9.0,0.009509775004326938,95.74405304053337,70,
outputs\raw\humaneval_000__deepseek_model__basic__r1.json,humaneval_000,deepseek_model,basic,,True,8.0,7.0,0.0,1.0,3.0,3.0,3.0,39.863137138648355,1.7142857142857142,68.33680652339717,10.0,12.0,0.013287712379549451,69.95433047022944,30,
outputs\raw\humaneval_000__deepseek_model__basic__r2.json,humaneval_000,deepseek_model,basic,,True,8.0,7.0,0.0,1.0,3.0,3.0,3.0,39.863137138648355,1.7142857142857142,68.33680652339717,10.0,12.0,0.013287712379549451,69.95433047022944,30,
outputs\raw\humaneval_000__deepseek_model__basic__r3.json,humaneval_000,deepseek_model,basic,,True,8.0,7.0,0.0,1.0,3.0,3.0,3.0,39.863137138648355,1.7142857142857142,68.33680652339717,10.0,12.0,0.013287712379549451,69.95433047022944,30,
outputs\raw\humaneval_000__deepseek_model__basic__r4.json,humaneval_000,deepseek_model,basic,,True,8.0,7.0,0.0,1.0,3.0,3.0,3.0,39.863137138648355,1.7142857142857142,68.33680652339717,10.0,12.0,0.013287712379549451,69.95433047022944,30,
outputs\raw\humaneval_000__deepseek_model__basic__r5.json,humaneval_000,deepseek_model,basic,,True,8.0,7.0,0.0,1.0,3.0,3.0,3.0,39.863137138648355,1.7142857142857142,68.33680652339717,10.0,12.0,0.013287712379549451,69.95433047022944,30,
outputs\raw\humaneval_000__deepseek_model__concise__r1.json,humaneval_000,deepseek_model,concise,,True,8.0,7.0,0.0,1.0,3.0,3.0,3.0,39.863137138648355,1.7142857142857142,68.33680652339717,10.0,12.0,0.013287712379549451,69.95433047022944,30,
outputs\raw\humaneval_000__deepseek_model__concise__r2.json,humaneval_000,deepseek_model,concise,,True,8.0,7.0,0.0,1.0,3.0,3.0,3.0,39.863137138648355,1.7142857142857142,68.33680652339717,10.0,12.0,0.013287712379549451,69.95433047022944,30,
outputs\raw\humaneval_000__deepseek_model__concise__r3.json,humaneval_000,deepseek_model,concise,,True,8.0,7.0,0.0,1.0,3.0,3.0,3.0,39.863137138648355,1.7142857142857142,68.33680652339717,10.0,12.0,0.013287712379549451,69.95433047022944,30,
outputs\raw\humaneval_000__deepseek_model__concise__r4.json,humaneval_000,deepseek_model,concise,,True,8.0,7.0,0.0,1.0,3.0,3.0,3.0,39.863137138648355,1.7142857142857142,68.33680652339717,10.0,12.0,0.013287712379549451,69.95433047022944,30,
outputs\raw\humaneval_000__deepseek_model__concise__r5.json,humaneval_000,deepseek_model,concise,,True,8.0,7.0,0.0,1.0,3.0,3.0,3.0,39.863137138648355,1.7142857142857142,68.33680652339717,10.0,12.0,0.013287712379549451,69.95433047022944,30,
outputs\raw\humaneval_000__deepseek_model__constraint__r1.json,humaneval_000,deepseek_model,constraint,,True,15.0,7.0,0.0,1.0,3.0,3.0,3.0,39.863137138648355,1.7142857142857142,68.33680652339717,10.0,12.0,0.013287712379549451,94.33160788446588,67,
outputs\raw\humaneval_000__deepseek_model__constraint__r2.json,humaneval_000,deepseek_model,constraint,,True,15.0,7.0,0.0,1.0,3.0,3.0,3.0,39.863137138648355,1.7142857142857142,68.33680652339717,10.0,12.0,0.013287712379549451,94.33160788446588,67,
outputs\raw\humaneval_000__deepseek_model__constraint__r3.json,humaneval_000,deepseek_model,constraint,,True,16.0,8.0,0.0,1.0,4.0,4.0,4.0,28.529325012980813,1.5,42.793987519471216,9.0,9.0,0.009509775004326938,95.74405304053337,70,
outputs\raw\humaneval_000__deepseek_model__constraint__r4.json,humaneval_000,deepseek_model,constraint,,True,16.0,8.0,0.0,1.0,4.0,4.0,4.0,28.529325012980813,1.5,42.793987519471216,9.0,9.0,0.009509775004326938,95.74405304053337,70,
outputs\raw\humaneval_000__deepseek_model__constraint__r5.json,humaneval_000,deepseek_model,constraint,,True,15.0,7.0,0.0,1.0,3.0,3.0,3.0,39.863137138648355,1.7142857142857142,68.33680652339717,10.0,12.0,0.013287712379549451,94.33160788446588,67,
outputs\raw\humaneval_000__deepseek_model__optimized__r1.json,humaneval_000,deepseek_model,optimized,,True,8.0,7.0,0.0,1.0,3.0,3.0,3.0,39.863137138648355,1.7142857142857142,68.33680652339717,10.0,12.0,0.013287712379549451,69.95433047022944,30,
outputs\raw\humaneval_000__deepseek_model__optimized__r2.json,humaneval_000,deepseek_model,optimized,,True,8.0,7.0,0.0,1.0,3.0,3.0,3.0,39.863137138648355,1.7142857142857142,68.33680652339717,10.0,12.0,0.013287712379549451,69.95433047022944,30,
outputs\raw\humaneval_000__deepseek_model__optimized__r3.json,humaneval_000,deepseek_model,optimized,,True,8.0,7.0,0.0,1.0,3.0,3.0,3.0,39.863137138648355,1.7142857142857142,68.33680652339717,10.0,12.0,0.013287712379549451,69.95433047022944,30,
outputs\raw\humaneval_000__deepseek_model__optimized__r4.json,humaneval_000,deepseek_model,optimized,,True,8.0,7.0,0.0,1.0,3.0,3.0,3.0,39.863137138648355,1.7142857142857142,68.33680652339717,10.0,12.0,0.013287712379549451,69.95433047022944,30,
outputs\raw\humaneval_000__deepseek_model__optimized__r5.json,humaneval_000,deepseek_model,optimized,,True,8.0,7.0,0.0,1.0,3.0,3.0,3.0,39.863137138648355,1.7142857142857142,68.33680652339717,10.0,12.0,0.013287712379549451,69.95433047022944,30,
outputs\raw\humaneval_000__deepseek_model__readable__r1.json,humaneval_000,deepseek_model,readable,,True,15.0,7.0,0.0,1.0,3.0,3.0,3.0,39.863137138648355,1.7142857142857142,68.33680652339717,10.0,12.0,0.013287712379549451,94.33160788446588,67,
outputs\raw\humaneval_000__deepseek_model__readable__r2.json,humaneval_000,deepseek_model,readable,,True,8.0,7.0,0.0,1.0,3.0,3.0,3.0,39.863137138648355,1.7142857142857142,68.33680652339717,10.0,12.0,0.013287712379549451,69.95433047022944,32,
outputs\raw\humaneval_000__deepseek_model__readable__r3.json,humaneval_000,deepseek_model,readable,,True,15.0,7.0,0.0,1.0,3.0,3.0,3.0,39.863137138648355,1.7142857142857142,68.33680652339717,10.0,12.0,0.013287712379549451,94.33160788446588,67,
outputs\raw\humaneval_000__deepseek_model__readable__r4.json,humaneval_000,deepseek_model,readable,,True,15.0,7.0,0.0,1.0,3.0,3.0,3.0,39.863137138648355,1.7142857142857142,68.33680652339717,10.0,12.0,0.013287712379549451,94.33160788446588,67,
outputs\raw\humaneval_000__deepseek_model__readable__r5.json,humaneval_000,deepseek_model,readable,,True,15.0,7.0,0.0,1.0,3.0,3.0,3.0,39.863137138648355,1.7142857142857142,68.33680652339717,10.0,12.0,0.013287712379549451,94.33160788446588,67,
outputs\raw\humaneval_000__gpt5_model__basic__r1.json,humaneval_000,gpt5_model,basic,,True,21.0,12.0,1.0,1.0,5.0,5.0,5.0,51.89147427955947,1.1111111111111112,57.65719364395497,11.0,15.0,0.01729715809318649,92.04464543703685,93,
outputs\raw\humaneval_000__gpt5_model__basic__r2.json,humaneval_000,gpt5_model,basic,,True,25.0,15.0,1.0,2.0,5.0,5.0,5.0,68.53238859703687,1.6363636363636365,112.14390861333307,14.0,18.0,0.022844129532345624,89.26272019746594,99,
outputs\raw\humaneval_000__gpt5_model__basic__r3.json,humaneval_000,gpt5_model,basic,,True,27.0,17.0,2.0,1.0,8.0,8.0,8.0,91.37651812938249,2.1818181818181817,199.36694864592542,14.0,24.0,0.03045883937646083,86.99322291482228,121,
outputs\raw\humaneval_000__gpt5_model__basic__r4.json,humaneval_000,gpt5_model,basic,,True,21.0,12.0,1.0,1.0,5.0,5.0,5.0,51.89147427955947,1.1111111111111112,57.65719364395497,11.0,15.0,0.01729715809318649,92.04464543703685,93,
outputs\raw\humaneval_000__gpt5_model__basic__r5.json,humaneval_000,gpt5_model,basic,,True,21.0,12.0,1.0,1.0,5.0,5.0,5.0,51.89147427955947,1.1111111111111112,57.65719364395497,11.0,15.0,0.01729715809318649,92.04464543703685,91,
outputs\raw\humaneval_000__gpt5_model__concise__r1.json,humaneval_000,gpt5_model,concise,,True,20.0,12.0,0.0,1.0,5.0,5.0,5.0,51.89147427955947,1.1111111111111112,57.65719364395497,11.0,15.0,0.01729715809318649,92.25657770822568,82,
outputs\raw\humaneval_000__gpt5_model__concise__r2.json,humaneval_000,gpt5_model,concise,,True,22.0,14.0,0.0,1.0,5.0,5.0,5.0,39.863137138648355,1.0,39.863137138648355,10.0,12.0,0.013287712379549451,91.54188875057342,87,
outputs\raw\humaneval_000__gpt5_model__concise__r3.json,humaneval_000,gpt5_model,concise,,True,21.0,13.0,0.0,1.0,5.0,5.0,5.0,53.77443751081735,1.0,53.77443751081735,12.0,15.0,0.017924812503605784,91.41114961121866,85,
outputs\raw\humaneval_000__gpt5_model__concise__r4.json,humaneval_000,gpt5_model,concise,,True,21.0,13.0,0.0,1.0,5.0,5.0,5.0,53.77443751081735,1.0,53.77443751081735,12.0,15.0,0.017924812503605784,91.41114961121866,85,
outputs\raw\humaneval_000__gpt5_model__concise__r5.json,humaneval_000,gpt5_model,concise,,True,20.0,12.0,0.0,1.0,5.0,5.0,5.0,38.03910001730775,1.1428571428571428,43.47325716263743,9.0,12.0,0.012679700005769252,93.20090964712541,83,
outputs\raw\humaneval_000__gpt5_model__constraint__r1.json,humaneval_000,gpt5_model,constraint,,True,32.0,16.0,5.0,4.0,5.0,5.0,5.0,101.95026032264605,2.1333333333333333,217.49388868831156,19.0,24.0,0.03398342010754868,86.53160764955662,151,
outputs\raw\humaneval_000__gpt5_model__constraint__r2.json,humaneval_000,gpt5_model,constraint,,True,29.0,15.0,3.0,4.0,5.0,5.0,5.0,68.53238859703687,1.6363636363636365,112.14390861333307,14.0,18.0,0.022844129532345624,89.09719053868876,105,
outputs\raw\humaneval_000__gpt5_model__constraint__r3.json,humaneval_000,gpt5_model,constraint,,True,24.0,12.0,3.0,2.0,5.0,5.0,5.0,51.89147427955947,1.1111111111111112,57.65719364395497,11.0,15.0,0.01729715809318649,90.76741065329851,108,
outputs\raw\humaneval_000__gpt5_model__constraint__r4.json,humaneval_000,gpt5_model,constraint,,True,32.0,15.0,5.0,5.0,5.0,5.0,5.0,68.53238859703687,1.6363636363636365,112.14390861333307,14.0,18.0,0.022844129532345624,88.15191098802404,141,
outputs\raw\humaneval_000__gpt5_model__constraint__r5.json,humaneval_000,gpt5_model,constraint,,True,24.0,12.0,3.0,2.0,4.0,4.0,4.0,55.506595772116384,1.5,83.25989365817458,13.0,15.0,0.01850219859070546,90.56261168868623,107,
outputs\raw\humaneval_000__gpt5_model__optimized__r1.json,humaneval_000,gpt5_model,optimized,,True,21.0,13.0,0.0,1.0,5.0,5.0,5.0,53.77443751081735,1.0,53.77443751081735,12.0,15.0,0.017924812503605784,91.41114961121866,85,
outputs\raw\humaneval_000__gpt5_model__optimized__r2.json,humaneval_000,gpt5_model,optimized,,True,25.0,18.0,2.0,2.0,5.0,5.0,5.0,53.77443751081735,1.6666666666666667,89.62406251802892,12.0,15.0,0.017924812503605784,85.13363565808777,94,
outputs\raw\humaneval_000__gpt5_model__optimized__r3.json,humaneval_000,gpt5_model,optimized,,True,28.0,20.0,3.0,2.0,5.0,5.0,5.0,87.56842503028855,2.0,175.1368500605771,18.0,21.0,0.029189475010096184,82.9867012439483,132,
outputs\raw\humaneval_000__gpt5_model__optimized__r4.json,humaneval_000,gpt5_model,optimized,,True,31.0,20.0,3.0,1.0,8.0,8.0,8.0,93.76537429460444,2.0,187.53074858920888,15.0,24.0,0.03125512476486815,85.34970331184051,146,
outputs\raw\humaneval_000__gpt5_model__optimized__r5.json,humaneval_000,gpt5_model,optimized,,True,23.0,16.0,2.0,2.0,5.0,5.0,5.0,70.32403072095333,1.5,105.48604608143,15.0,18.0,0.02344134357365111,86.20610729252067,92,
outputs\raw\humaneval_000__gpt5_model__readable__r1.json,humaneval_000,gpt5_model,readable,,True,35.0,15.0,5.0,9.0,5.0,5.0,5.0,68.53238859703687,1.6363636363636365,112.14390861333307,14.0,18.0,0.022844129532345624,87.45524583258677,145,
outputs\raw\humaneval_000__gpt5_model__readable__r2.json,humaneval_000,gpt5_model,readable,,True,29.0,12.0,2.0,7.0,5.0,5.0,5.0,51.89147427955947,1.1111111111111112,57.65719364395497,11.0,15.0,0.01729715809318649,90.76741065329851,120,
outputs\raw\humaneval_000__gpt5_model__readable__r3.json,humaneval_000,gpt5_model,readable,,True,32.0,18.0,4.0,7.0,6.0,6.0,6.0,164.51539013493823,4.2368421052631575,697.0257318875014,26.0,35.0,0.054838463378312746,83.08546680076401,156,
outputs\raw\humaneval_000__gpt5_model__readable__r4.json,humaneval_000,gpt5_model,readable,,True,42.0,21.0,10.0,8.0,5.0,5.0,5.0,144.94647495169912,2.588235294117647,375.15558222792714,21.0,33.0,0.048315491650566374,82.99540548568554,277,
outputs\raw\humaneval_000__gpt5_model__readable__r5.json,humaneval_000,gpt5_model,readable,,True,23.0,9.0,3.0,4.0,4.0,4.0,4.0,39.863137138648355,1.0,39.863137138648355,10.0,12.0,0.013287712379549451,90.35059421124609,106,
outputs\raw\humaneval_001__claude_model__basic__r1.json,humaneval_001,claude_model,basic,,True,19.0,17.0,0.0,2.0,5.0,5.0,5.0,47.548875021634686,2.5,118.87218755408671,9.0,15.0,0.01584962500721156,60.74315880176293,53,
outputs\raw\humaneval_001__claude_model__basic__r2.json,humaneval_001,claude_model,basic,,True,21.0,17.0,0.0,4.0,5.0,5.0,5.0,47.548875021634686,2.5,118.87218755408671,9.0,15.0,0.01584962500721156,60.74315880176293,53,
outputs\raw\humaneval_001__claude_model__basic__r3.json,humaneval_001,claude_model,basic,,True,19.0,17.0,0.0,2.0,5.0,5.0,5.0,47.548875021634686,2.5,118.87218755408671,9.0,15.0,0.01584962500721156,60.74315880176293,53,
outputs\raw\humaneval_001__claude_model__basic__r4.json,humaneval_001,claude_model,basic,,True,19.0,17.0,0.0,2.0,5.0,5.0,5.0,47.548875021634686,2.5,118.87218755408671,9.0,15.0,0.01584962500721156,60.74315880176293,53,
outputs\raw\humaneval_001__claude_model__basic__r5.json,humaneval_001,claude_model,basic,,True,21.0,17.0,0.0,4.0,5.0,5.0,5.0,47.548875021634686,2.5,118.87218755408671,9.0,15.0,0.01584962500721156,60.74315880176293,53,
outputs\raw\humaneval_001__claude_model__concise__r1.json,humaneval_001,claude_model,concise,,True,17.0,16.0,0.0,1.0,6.0,6.0,6.0,64.52932501298082,3.0,193.58797503894246,12.0,18.0,0.02150977500432694,60.25440929013517,54,
outputs\raw\humaneval_001__claude_model__concise__r2.json,humaneval_001,claude_model,concise,,True,17.0,16.0,0.0,1.0,6.0,6.0,6.0,64.52932501298082,3.0,193.58797503894246,12.0,18.0,0.02150977500432694,60.25440929013517,54,
outputs\raw\humaneval_001__claude_model__concise__r3.json,humaneval_001,claude_model,concise,,True,17.0,16.0,0.0,1.0,6.0,6.0,6.0,64.52932501298082,3.0,193.58797503894246,12.0,18.0,0.02150977500432694,60.25440929013517,54,
outputs\raw\humaneval_001__claude_model__concise__r4.json,humaneval_001,claude_model,concise,,True,17.0,16.0,0.0,1.0,6.0,6.0,6.0,75.28421251514429,3.5,263.494743803005,12.0,21.0,0.025094737505048096,59.78564698890608,56,
outputs\raw\humaneval_001__claude_model__concise__r5.json,humaneval_001,claude_model,concise,,True,17.0,16.0,0.0,1.0,6.0,6.0,6.0,64.52932501298082,3.0,193.58797503894246,12.0,18.0,0.02150977500432694,60.25440929013517,54,
outputs\raw\humaneval_001__claude_model__constraint__r1.json,humaneval_001,claude_model,constraint,,True,19.0,17.0,0.0,2.0,5.0,5.0,5.0,47.548875021634686,2.5,118.87218755408671,9.0,15.0,0.01584962500721156,60.74315880176293,53,
outputs\raw\humaneval_001__claude_model__constraint__r2.json,humaneval_001,claude_model,constraint,,True,19.0,17.0,0.0,2.0,5.0,5.0,5.0,47.548875021634686,2.5,118.87218755408671,9.0,15.0,0.01584962500721156,60.74315880176293,53,
outputs\raw\humaneval_001__claude_model__constraint__r3.json,humaneval_001,claude_model,constraint,,True,19.0,17.0,0.0,2.0,5.0,5.0,5.0,47.548875021634686,2.5,118.87218755408671,9.0,15.0,0.01584962500721156,60.74315880176293,53,
outputs\raw\humaneval_001__claude_model__constraint__r4.json,humaneval_001,claude_model,constraint,,True,19.0,17.0,0.0,2.0,5.0,5.0,5.0,47.548875021634686,2.5,118.87218755408671,9.0,15.0,0.01584962500721156,60.74315880176293,53,
outputs\raw\humaneval_001__claude_model__constraint__r5.json,humaneval_001,claude_model,constraint,,True,19.0,17.0,0.0,2.0,5.0,5.0,5.0,47.548875021634686,2.5,118.87218755408671,9.0,15.0,0.01584962500721156,60.74315880176293,53,
outputs\raw\humaneval_001__claude_model__optimized__r1.json,humaneval_001,claude_model,optimized,,True,20.0,18.0,0.0,2.0,6.0,6.0,6.0,59.794705707972525,2.5714285714285716,153.75781467764364,10.0,18.0,0.019931568569324175,59.37029735596963,54,
outputs\raw\humaneval_001__claude_model__optimized__r2.json,humaneval_001,claude_model,optimized,,True,20.0,18.0,0.0,2.0,6.0,6.0,6.0,59.794705707972525,2.5714285714285716,153.75781467764364,10.0,18.0,0.019931568569324175,59.37029735596963,54,
outputs\raw\humaneval_001__claude_model__optimized__r3.json,humaneval_001,claude_model,optimized,,True,18.0,16.0,0.0,2.0,6.0,6.0,6.0,69.76048999263462,3.0,209.28146997790384,10.0,21.0,0.02325349666421154,59.443035817434776,56,
outputs\raw\humaneval_001__claude_model__optimized__r4.json,humaneval_001,claude_model,optimized,,True,20.0,18.0,0.0,2.0,6.0,6.0,6.0,59.794705707972525,2.5714285714285716,153.75781467764364,10.0,18.0,0.019931568569324175,59.37029735596963,54,
outputs\raw\humaneval_001__claude_model__optimized__r5.json,humaneval_001,claude_model,optimized,,True,20.0,18.0,0.0,2.0,6.0,6.0,6.0,59.794705707972525,2.5714285714285716,153.75781467764364,10.0,18.0,0.019931568569324175,59.37029735596963,54,
outputs\raw\humaneval_001__claude_model__readable__r1.json,humaneval_001,claude_model,readable,,True,23.0,17.0,0.0,6.0,5.0,5.0,5.0,69.76048999263462,3.0,209.28146997790384,10.0,21.0,0.02325349666421154,59.577538741411374,57,
outputs\raw\humaneval_001__claude_model__readable__r2.json,humaneval_001,claude_model,readable,,True,23.0,17.0,0.0,6.0,5.0,5.0,5.0,69.76048999263462,3.0,209.28146997790384,10.0,21.0,0.02325349666421154,59.577538741411374,57,
outputs\raw\humaneval_001__claude_model__readable__r3.json,humaneval_001,claude_model,readable,,True,23.0,17.0,0.0,6.0,5.0,5.0,5.0,69.76048999263462,3.0,209.28146997790384,10.0,21.0,0.02325349666421154,59.577538741411374,57,
outputs\raw\humaneval_001__claude_model__readable__r4.json,humaneval_001,claude_model,readable,,True,22.0,17.0,0.0,5.0,5.0,5.0,5.0,69.76048999263462,3.0,209.28146997790384,10.0,21.0,0.02325349666421154,59.577538741411374,57,
outputs\raw\humaneval_001__claude_model__readable__r5.json,humaneval_001,claude_model,readable,,True,23.0,17.0,0.0,6.0,5.0,5.0,5.0,69.76048999263462,3.0,209.28146997790384,10.0,21.0,0.02325349666421154,59.577538741411374,57,
outputs\raw\humaneval_001__deepseek_model__basic__r1.json,humaneval_001,deepseek_model,basic,,True,24.0,16.0,0.0,1.0,5.0,5.0,5.0,59.794705707972525,2.5714285714285716,153.75781467764364,10.0,18.0,0.019931568569324175,88.70179374309271,119,
outputs\raw\humaneval_001__deepseek_model__basic__r2.json,humaneval_001,deepseek_model,basic,,True,26.0,16.0,0.0,3.0,4.0,4.0,4.0,36.0,2.4,86.39999999999999,8.0,12.0,0.012,90.37926190882507,114,
outputs\raw\humaneval_001__deepseek_model__basic__r3.json,humaneval_001,deepseek_model,basic,,True,26.0,16.0,0.0,3.0,4.0,4.0,4.0,36.0,2.4,86.39999999999999,8.0,12.0,0.012,90.37926190882507,114,
outputs\raw\humaneval_001__deepseek_model__basic__r4.json,humaneval_001,deepseek_model,basic,,True,26.0,16.0,0.0,3.0,4.0,4.0,4.0,36.0,2.4,86.39999999999999,8.0,12.0,0.012,90.37926190882507,114,
outputs\raw\humaneval_001__deepseek_model__basic__r5.json,humaneval_001,deepseek_model,basic,,True,17.0,16.0,0.0,1.0,5.0,5.0,5.0,59.794705707972525,2.5714285714285716,153.75781467764364,10.0,18.0,0.019931568569324175,60.62063956511197,54,
outputs\raw\humaneval_001__deepseek_model__concise__r1.json,humaneval_001,deepseek_model,concise,,True,16.0,15.0,0.0,1.0,5.0,5.0,5.0,69.76048999263462,3.0,209.28146997790384,10.0,21.0,0.02325349666421154,60.15187726388286,54,
outputs\raw\humaneval_001__deepseek_model__concise__r2.json,humaneval_001,deepseek_model,concise,,True,16.0,15.0,0.0,1.0,5.0,5.0,5.0,69.76048999263462,3.0,209.28146997790384,10.0,21.0,0.02325349666421154,60.15187726388286,54,
outputs\raw\humaneval_001__deepseek_model__concise__r3.json,humaneval_001,deepseek_model,concise,,True,16.0,15.0,0.0,1.0,5.0,5.0,5.0,69.76048999263462,3.0,209.28146997790384,10.0,21.0,0.02325349666421154,60.15187726388286,54,
outputs\raw\humaneval_001__deepseek_model__concise__r4.json,humaneval_001,deepseek_model,concise,,True,16.0,15.0,0.0,1.0,5.0,5.0,5.0,69.76048999263462,3.0,209.28146997790384,10.0,21.0,0.02325349666421154,60.15187726388286,54,
