problem_id,task_id,model_name,prompt_name,num_successful_candidates,baseline_file,reranked_file,baseline_repeat_idx,reranked_repeat_idx,baseline_complexity,reranked_complexity,improvement,improved
humaneval_000,HumanEval/0,gpt5_model,concise,5,humaneval_000__gpt5_model__concise__r1.json,humaneval_000__gpt5_model__concise__r2.json,1,2,15.089888,13.085106,2.0047820000000005,True
humaneval_000,HumanEval/0,gpt5_model,constraint,5,humaneval_000__gpt5_model__constraint__r1.json,humaneval_000__gpt5_model__constraint__r3.json,1,3,17.069767,15.093023,1.9767439999999983,True
humaneval_000,HumanEval/0,gpt5_model,optimized,5,humaneval_000__gpt5_model__optimized__r1.json,humaneval_000__gpt5_model__optimized__r3.json,1,3,15.082474,14.062069,1.0204050000000002,True
humaneval_000,HumanEval/0,gpt5_model,readable,5,humaneval_000__gpt5_model__readable__r1.json,humaneval_000__gpt5_model__readable__r4.json,1,4,16.072581,14.053571,2.0190099999999997,True
humaneval_001,HumanEval/1,claude_model,basic,5,humaneval_001__claude_model__basic__r1.json,humaneval_001__claude_model__basic__r1.json,1,1,16.046729,16.046729,0.0,False
humaneval_001,HumanEval/1,claude_model,concise,5,humaneval_001__claude_model__concise__r1.json,humaneval_001__claude_model__concise__r1.json,1,1,14.048544,14.048544,0.0,False
humaneval_001,HumanEval/1,claude_model,constraint,5,humaneval_001__claude_model__constraint__r1.json,humaneval_001__claude_model__constraint__r1.json,1,1,16.046729,16.046729,0.0,False
humaneval_001,HumanEval/1,claude_model,optimized,5,humaneval_001__claude_model__optimized__r1.json,humaneval_001__claude_model__optimized__r1.json,1,1,17.067308,17.067308,0.0,False
humaneval_001,HumanEval/1,claude_model,readable,5,humaneval_001__claude_model__readable__r1.json,humaneval_001__claude_model__readable__r1.json,1,1,16.051546,16.051546,0.0,False
humaneval_001,HumanEval/1,deepseek_model,basic,5,humaneval_001__deepseek_model__basic__r1.json,humaneval_001__deepseek_model__basic__r2.json,1,2,14.053763,13.042105,1.0116580000000006,True
humaneval_001,HumanEval/1,deepseek_model,concise,5,humaneval_001__deepseek_model__concise__r1.json,humaneval_001__deepseek_model__concise__r1.json,1,1,16.04717,16.04717,0.0,False
humaneval_001,HumanEval/1,deepseek_model,constraint,5,humaneval_001__deepseek_model__constraint__r1.json,humaneval_001__deepseek_model__constraint__r2.json,1,2,16.046729,14.049505,1.9972239999999992,True
humaneval_001,HumanEval/1,deepseek_model,optimized,5,humaneval_001__deepseek_model__optimized__r1.json,humaneval_001__deepseek_model__optimized__r1.json,1,1,15.066667,15.066667,0.0,False
humaneval_001,HumanEval/1,deepseek_model,readable,5,humaneval_001__deepseek_model__readable__r1.json,humaneval_001__deepseek_model__readable__r4.json,1,4,14.050505,14.049505,0.0009999999999994458,True
humaneval_001,HumanEval/1,gpt5_model,basic,5,humaneval_001__gpt5_model__basic__r1.json,humaneval_001__gpt5_model__basic__r3.json,1,3,17.064286,17.057143,0.007142999999999233,True
humaneval_001,HumanEval/1,gpt5_model,concise,5,humaneval_001__gpt5_model__concise__r1.json,humaneval_001__gpt5_model__concise__r5.json,1,5,17.069767,16.056452,1.0133149999999986,True
humaneval_001,HumanEval/1,gpt5_model,constraint,5,humaneval_001__gpt5_model__constraint__r1.json,humaneval_001__gpt5_model__constraint__r2.json,1,2,22.068182,17.054878,5.0133040000000015,True
humaneval_001,HumanEval/1,gpt5_model,optimized,5,humaneval_001__gpt5_model__optimized__r1.json,humaneval_001__gpt5_model__optimized__r5.json,1,5,17.055172,15.055556,1.9996159999999996,True
humaneval_001,HumanEval/1,gpt5_model,readable,5,humaneval_001__gpt5_model__readable__r1.json,humaneval_001__gpt5_model__readable__r2.json,1,2,22.057895,17.04878,5.009114999999998,True
humaneval_002,HumanEval/2,claude_model,basic,5,humaneval_002__claude_model__basic__r1.json,humaneval_002__claude_model__basic__r1.json,1,1,7.071429,7.071429,0.0,False
humaneval_002,HumanEval/2,claude_model,concise,5,humaneval_002__claude_model__concise__r1.json,humaneval_002__claude_model__concise__r1.json,1,1,7.071429,7.071429,0.0,False
humaneval_002,HumanEval/2,claude_model,constraint,5,humaneval_002__claude_model__constraint__r1.json,humaneval_002__claude_model__constraint__r1.json,1,1,8.05,8.05,0.0,False
humaneval_002,HumanEval/2,claude_model,optimized,5,humaneval_002__claude_model__optimized__r1.json,humaneval_002__claude_model__optimized__r1.json,1,1,7.071429,7.071429,0.0,False
humaneval_002,HumanEval/2,claude_model,readable,5,humaneval_002__claude_model__readable__r1.json,humaneval_002__claude_model__readable__r1.json,1,1,7.033333,7.033333,0.0,False
humaneval_002,HumanEval/2,deepseek_model,basic,5,humaneval_002__deepseek_model__basic__r1.json,humaneval_002__deepseek_model__basic__r1.json,1,1,8.05,8.05,0.0,False
humaneval_002,HumanEval/2,deepseek_model,concise,5,humaneval_002__deepseek_model__concise__r1.json,humaneval_002__deepseek_model__concise__r1.json,1,1,8.055556,8.055556,0.0,False
humaneval_002,HumanEval/2,deepseek_model,constraint,5,humaneval_002__deepseek_model__constraint__r1.json,humaneval_002__deepseek_model__constraint__r1.json,1,1,8.05,8.05,0.0,False
humaneval_002,HumanEval/2,deepseek_model,optimized,5,humaneval_002__deepseek_model__optimized__r1.json,humaneval_002__deepseek_model__optimized__r1.json,1,1,8.05,8.05,0.0,False
humaneval_002,HumanEval/2,deepseek_model,readable,5,humaneval_002__deepseek_model__readable__r1.json,humaneval_002__deepseek_model__readable__r1.json,1,1,7.033333,7.033333,0.0,False
humaneval_002,HumanEval/2,gpt5_model,basic,5,humaneval_002__gpt5_model__basic__r1.json,humaneval_002__gpt5_model__basic__r1.json,1,1,8.052632,8.052632,0.0,False
humaneval_002,HumanEval/2,gpt5_model,concise,5,humaneval_002__gpt5_model__concise__r1.json,humaneval_002__gpt5_model__concise__r4.json,1,4,10.041667,9.052632,0.9890350000000012,True
humaneval_002,HumanEval/2,gpt5_model,constraint,5,humaneval_002__gpt5_model__constraint__r1.json,humaneval_002__gpt5_model__constraint__r2.json,1,2,14.071429,12.068182,2.003247,True
humaneval_002,HumanEval/2,gpt5_model,optimized,5,humaneval_002__gpt5_model__optimized__r1.json,humaneval_002__gpt5_model__optimized__r2.json,1,2,11.065574,10.081633,0.9839409999999997,True
humaneval_002,HumanEval/2,gpt5_model,readable,5,humaneval_002__gpt5_model__readable__r1.json,humaneval_002__gpt5_model__readable__r5.json,1,5,10.089286,8.083333,2.005953,True
humaneval_003,HumanEval/3,claude_model,basic,5,humaneval_003__claude_model__basic__r1.json,humaneval_003__claude_model__basic__r1.json,1,1,10.102564,10.102564,0.0,False
humaneval_003,HumanEval/3,claude_model,concise,5,humaneval_003__claude_model__concise__r1.json,humaneval_003__claude_model__concise__r1.json,1,1,10.102564,10.102564,0.0,False
humaneval_003,HumanEval/3,claude_model,constraint,5,humaneval_003__claude_model__constraint__r1.json,humaneval_003__claude_model__constraint__r1.json,1,1,10.102564,10.102564,0.0,False
humaneval_003,HumanEval/3,claude_model,optimized,5,humaneval_003__claude_model__optimized__r1.json,humaneval_003__claude_model__optimized__r1.json,1,1,10.102564,10.102564,0.0,False
humaneval_003,HumanEval/3,claude_model,readable,5,humaneval_003__claude_model__readable__r1.json,humaneval_003__claude_model__readable__r1.json,1,1,10.097561,10.097561,0.0,False
humaneval_003,HumanEval/3,deepseek_model,basic,5,humaneval_003__deepseek_model__basic__r1.json,humaneval_003__deepseek_model__basic__r1.json,1,1,10.102564,10.102564,0.0,False
humaneval_003,HumanEval/3,deepseek_model,concise,5,humaneval_003__deepseek_model__concise__r1.json,humaneval_003__deepseek_model__concise__r1.json,1,1,10.102564,10.102564,0.0,False
humaneval_003,HumanEval/3,deepseek_model,constraint,5,humaneval_003__deepseek_model__constraint__r1.json,humaneval_003__deepseek_model__constraint__r1.json,1,1,10.102564,10.102564,0.0,False
humaneval_003,HumanEval/3,deepseek_model,optimized,5,humaneval_003__deepseek_model__optimized__r1.json,humaneval_003__deepseek_model__optimized__r1.json,1,1,10.102564,10.102564,0.0,False
humaneval_003,HumanEval/3,deepseek_model,readable,5,humaneval_003__deepseek_model__readable__r1.json,humaneval_003__deepseek_model__readable__r1.json,1,1,10.102564,10.102564,0.0,False
humaneval_003,HumanEval/3,gpt5_model,basic,5,humaneval_003__gpt5_model__basic__r1.json,humaneval_003__gpt5_model__basic__r1.json,1,1,10.097561,10.097561,0.0,False
humaneval_003,HumanEval/3,gpt5_model,concise,5,humaneval_003__gpt5_model__concise__r1.json,humaneval_003__gpt5_model__concise__r4.json,1,4,11.090909,10.097561,0.9933479999999992,True
humaneval_003,HumanEval/3,gpt5_model,constraint,5,humaneval_003__gpt5_model__constraint__r1.json,humaneval_003__gpt5_model__constraint__r1.json,1,1,10.097561,10.097561,0.0,False
humaneval_003,HumanEval/3,gpt5_model,optimized,5,humaneval_003__gpt5_model__optimized__r1.json,humaneval_003__gpt5_model__optimized__r2.json,1,2,12.05,10.097561,1.952439,True
humaneval_003,HumanEval/3,gpt5_model,readable,5,humaneval_003__gpt5_model__readable__r1.json,humaneval_003__gpt5_model__readable__r1.json,1,1,10.097561,10.097561,0.0,False
humaneval_004,HumanEval/4,claude_model,basic,5,humaneval_004__claude_model__basic__r1.json,humaneval_004__claude_model__basic__r1.json,1,1,11.018182,11.018182,0.0,False
humaneval_004,HumanEval/4,claude_model,concise,5,humaneval_004__claude_model__concise__r1.json,humaneval_004__claude_model__concise__r1.json,1,1,11.018182,11.018182,0.0,False
humaneval_004,HumanEval/4,claude_model,constraint,5,humaneval_004__claude_model__constraint__r1.json,humaneval_004__claude_model__constraint__r1.json,1,1,10.031746,10.031746,0.0,False
humaneval_004,HumanEval/4,claude_model,optimized,5,humaneval_004__claude_model__optimized__r1.json,humaneval_004__claude_model__optimized__r1.json,1,1,11.018182,11.018182,0.0,False
humaneval_004,HumanEval/4,claude_model,readable,5,humaneval_004__claude_model__readable__r1.json,humaneval_004__claude_model__readable__r1.json,1,1,9.014925,9.014925,0.0,False
humaneval_004,HumanEval/4,deepseek_model,basic,5,humaneval_004__deepseek_model__basic__r1.json,humaneval_004__deepseek_model__basic__r2.json,1,2,11.016667,10.016667,1.0,True
humaneval_004,HumanEval/4,deepseek_model,concise,5,humaneval_004__deepseek_model__concise__r1.json,humaneval_004__deepseek_model__concise__r1.json,1,1,11.018182,11.018182,0.0,False
humaneval_004,HumanEval/4,deepseek_model,constraint,5,humaneval_004__deepseek_model__constraint__r1.json,humaneval_004__deepseek_model__constraint__r2.json,1,2,11.058824,11.057143,0.0016809999999995995,True
humaneval_004,HumanEval/4,deepseek_model,optimized,5,humaneval_004__deepseek_model__optimized__r1.json,humaneval_004__deepseek_model__optimized__r1.json,1,1,11.056338,11.056338,0.0,False
humaneval_004,HumanEval/4,deepseek_model,readable,5,humaneval_004__deepseek_model__readable__r1.json,humaneval_004__deepseek_model__readable__r5.json,1,5,11.043478,10.040541,1.002937000000001,True
humaneval_004,HumanEval/4,gpt5_model,basic,5,humaneval_004__gpt5_model__basic__r1.json,humaneval_004__gpt5_model__basic__r4.json,1,4,13.054348,11.051948,2.0023999999999997,True
humaneval_004,HumanEval/4,gpt5_model,concise,5,humaneval_004__gpt5_model__concise__r1.json,humaneval_004__gpt5_model__concise__r4.json,1,4,12.042254,12.037975,0.004279000000000366,True
humaneval_004,HumanEval/4,gpt5_model,constraint,5,humaneval_004__gpt5_model__constraint__r1.json,humaneval_004__gpt5_model__constraint__r5.json,1,5,18.059113,17.064171,0.9949419999999982,True
humaneval_004,HumanEval/4,gpt5_model,optimized,5,humaneval_004__gpt5_model__optimized__r1.json,humaneval_004__gpt5_model__optimized__r5.json,1,5,14.030488,12.055556,1.9749320000000008,True
humaneval_004,HumanEval/4,gpt5_model,readable,5,humaneval_004__gpt5_model__readable__r1.json,humaneval_004__gpt5_model__readable__r2.json,1,2,16.057471,14.041667,2.0158039999999993,True
humaneval_005,HumanEval/5,claude_model,basic,5,humaneval_005__claude_model__basic__r1.json,humaneval_005__claude_model__basic__r1.json,1,1,13.0625,13.0625,0.0,False
humaneval_005,HumanEval/5,claude_model,concise,5,humaneval_005__claude_model__concise__r1.json,humaneval_005__claude_model__concise__r1.json,1,1,13.064103,13.064103,0.0,False
humaneval_005,HumanEval/5,claude_model,constraint,5,humaneval_005__claude_model__constraint__r1.json,humaneval_005__claude_model__constraint__r1.json,1,1,13.0625,13.0625,0.0,False
humaneval_005,HumanEval/5,claude_model,optimized,5,humaneval_005__claude_model__optimized__r1.json,humaneval_005__claude_model__optimized__r1.json,1,1,13.064103,13.064103,0.0,False
humaneval_005,HumanEval/5,claude_model,readable,5,humaneval_005__claude_model__readable__r1.json,humaneval_005__claude_model__readable__r1.json,1,1,13.0625,13.0625,0.0,False
humaneval_005,HumanEval/5,deepseek_model,basic,5,humaneval_005__deepseek_model__basic__r1.json,humaneval_005__deepseek_model__basic__r5.json,1,5,13.0625,12.041667,1.0208329999999997,True
humaneval_005,HumanEval/5,deepseek_model,concise,5,humaneval_005__deepseek_model__concise__r1.json,humaneval_005__deepseek_model__concise__r1.json,1,1,12.042857,12.042857,0.0,False
humaneval_005,HumanEval/5,deepseek_model,constraint,5,humaneval_005__deepseek_model__constraint__r1.json,humaneval_005__deepseek_model__constraint__r3.json,1,3,13.0625,11.057971,2.004529,True
humaneval_005,HumanEval/5,deepseek_model,optimized,5,humaneval_005__deepseek_model__optimized__r1.json,humaneval_005__deepseek_model__optimized__r1.json,1,1,11.035714,11.035714,0.0,False
humaneval_005,HumanEval/5,deepseek_model,readable,5,humaneval_005__deepseek_model__readable__r1.json,humaneval_005__deepseek_model__readable__r2.json,1,2,13.0625,12.042857,1.0196430000000003,True
humaneval_005,HumanEval/5,gpt5_model,basic,5,humaneval_005__gpt5_model__basic__r1.json,humaneval_005__gpt5_model__basic__r2.json,1,2,14.067961,11.047619,3.020342000000001,True
humaneval_005,HumanEval/5,gpt5_model,concise,5,humaneval_005__gpt5_model__concise__r1.json,humaneval_005__gpt5_model__concise__r1.json,1,1,11.047059,11.047059,0.0,False
humaneval_005,HumanEval/5,gpt5_model,constraint,5,humaneval_005__gpt5_model__constraint__r1.json,humaneval_005__gpt5_model__constraint__r5.json,1,5,14.057143,12.033784,2.0233589999999992,True
humaneval_005,HumanEval/5,gpt5_model,optimized,5,humaneval_005__gpt5_model__optimized__r1.json,humaneval_005__gpt5_model__optimized__r3.json,1,3,11.038095,9.03125,2.006845,True
humaneval_005,HumanEval/5,gpt5_model,readable,5,humaneval_005__gpt5_model__readable__r1.json,humaneval_005__gpt5_model__readable__r2.json,1,2,14.042857,14.035294,0.00756299999999932,True
humaneval_006,HumanEval/6,claude_model,basic,5,humaneval_006__claude_model__basic__r1.json,humaneval_006__claude_model__basic__r1.json,1,1,15.066667,15.066667,0.0,False
humaneval_006,HumanEval/6,claude_model,concise,5,humaneval_006__claude_model__concise__r1.json,humaneval_006__claude_model__concise__r1.json,1,1,14.064103,14.064103,0.0,False
humaneval_006,HumanEval/6,claude_model,constraint,5,humaneval_006__claude_model__constraint__r1.json,humaneval_006__claude_model__constraint__r1.json,1,1,15.066667,15.066667,0.0,False
humaneval_006,HumanEval/6,claude_model,optimized,5,humaneval_006__claude_model__optimized__r1.json,humaneval_006__claude_model__optimized__r1.json,1,1,15.070588,15.070588,0.0,False
humaneval_006,HumanEval/6,claude_model,readable,5,humaneval_006__claude_model__readable__r1.json,humaneval_006__claude_model__readable__r1.json,1,1,15.065934,15.065934,0.0,False
humaneval_006,HumanEval/6,deepseek_model,basic,5,humaneval_006__deepseek_model__basic__r1.json,humaneval_006__deepseek_model__basic__r1.json,1,1,15.066667,15.066667,0.0,False
humaneval_006,HumanEval/6,deepseek_model,concise,5,humaneval_006__deepseek_model__concise__r1.json,humaneval_006__deepseek_model__concise__r1.json,1,1,15.066667,15.066667,0.0,False
humaneval_006,HumanEval/6,deepseek_model,constraint,5,humaneval_006__deepseek_model__constraint__r1.json,humaneval_006__deepseek_model__constraint__r1.json,1,1,15.066667,15.066667,0.0,False
humaneval_006,HumanEval/6,deepseek_model,optimized,5,humaneval_006__deepseek_model__optimized__r1.json,humaneval_006__deepseek_model__optimized__r2.json,1,2,15.070588,15.066667,0.003921000000000063,True
humaneval_006,HumanEval/6,deepseek_model,readable,5,humaneval_006__deepseek_model__readable__r1.json,humaneval_006__deepseek_model__readable__r1.json,1,1,15.066667,15.066667,0.0,False
humaneval_006,HumanEval/6,gpt5_model,basic,5,humaneval_006__gpt5_model__basic__r1.json,humaneval_006__gpt5_model__basic__r4.json,1,4,19.078125,18.073171,1.0049540000000015,True
humaneval_006,HumanEval/6,gpt5_model,concise,5,humaneval_006__gpt5_model__concise__r1.json,humaneval_006__gpt5_model__concise__r1.json,1,1,18.066667,18.066667,0.0,False
humaneval_006,HumanEval/6,gpt5_model,constraint,5,humaneval_006__gpt5_model__constraint__r1.json,humaneval_006__gpt5_model__constraint__r2.json,1,2,23.082353,18.067164,5.015189000000003,True
humaneval_006,HumanEval/6,gpt5_model,optimized,5,humaneval_006__gpt5_model__optimized__r1.json,humaneval_006__gpt5_model__optimized__r5.json,1,5,19.083969,19.07483,0.009139000000001118,True
humaneval_006,HumanEval/6,gpt5_model,readable,5,humaneval_006__gpt5_model__readable__r1.json,humaneval_006__gpt5_model__readable__r4.json,1,4,19.075188,19.073529,0.001659000000000077,True
humaneval_007,HumanEval/7,claude_model,basic,5,humaneval_007__claude_model__basic__r1.json,humaneval_007__claude_model__basic__r1.json,1,1,9.026316,9.026316,0.0,False
humaneval_007,HumanEval/7,claude_model,concise,5,humaneval_007__claude_model__concise__r1.json,humaneval_007__claude_model__concise__r1.json,1,1,9.027778,9.027778,0.0,False
humaneval_007,HumanEval/7,claude_model,constraint,5,humaneval_007__claude_model__constraint__r1.json,humaneval_007__claude_model__constraint__r1.json,1,1,12.058824,12.058824,0.0,False
humaneval_007,HumanEval/7,claude_model,optimized,5,humaneval_007__claude_model__optimized__r1.json,humaneval_007__claude_model__optimized__r1.json,1,1,9.026316,9.026316,0.0,False
humaneval_007,HumanEval/7,claude_model,readable,5,humaneval_007__claude_model__readable__r1.json,humaneval_007__claude_model__readable__r1.json,1,1,9.023256,9.023256,0.0,False
humaneval_007,HumanEval/7,deepseek_model,basic,5,humaneval_007__deepseek_model__basic__r1.json,humaneval_007__deepseek_model__basic__r1.json,1,1,9.026316,9.026316,0.0,False
humaneval_007,HumanEval/7,deepseek_model,concise,5,humaneval_007__deepseek_model__concise__r1.json,humaneval_007__deepseek_model__concise__r1.json,1,1,9.027778,9.027778,0.0,False
humaneval_007,HumanEval/7,deepseek_model,constraint,5,humaneval_007__deepseek_model__constraint__r1.json,humaneval_007__deepseek_model__constraint__r1.json,1,1,12.058824,12.058824,0.0,False
humaneval_007,HumanEval/7,deepseek_model,optimized,5,humaneval_007__deepseek_model__optimized__r1.json,humaneval_007__deepseek_model__optimized__r1.json,1,1,9.027778,9.027778,0.0,False
humaneval_007,HumanEval/7,deepseek_model,readable,5,humaneval_007__deepseek_model__readable__r1.json,humaneval_007__deepseek_model__readable__r1.json,1,1,9.026316,9.026316,0.0,False
humaneval_007,HumanEval/7,gpt5_model,basic,5,humaneval_007__gpt5_model__basic__r1.json,humaneval_007__gpt5_model__basic__r5.json,1,5,15.088235,11.037383,4.050851999999999,True
humaneval_007,HumanEval/7,gpt5_model,concise,5,humaneval_007__gpt5_model__concise__r1.json,humaneval_007__gpt5_model__concise__r1.json,1,1,10.06,10.06,0.0,False
humaneval_007,HumanEval/7,gpt5_model,constraint,5,humaneval_007__gpt5_model__constraint__r1.json,humaneval_007__gpt5_model__constraint__r5.json,1,5,15.091954,14.088608,1.0033459999999987,True
humaneval_007,HumanEval/7,gpt5_model,optimized,5,humaneval_007__gpt5_model__optimized__r1.json,humaneval_007__gpt5_model__optimized__r1.json,1,1,10.061224,10.061224,0.0,False
humaneval_007,HumanEval/7,gpt5_model,readable,5,humaneval_007__gpt5_model__readable__r1.json,humaneval_007__gpt5_model__readable__r5.json,1,5,17.070175,10.061224,7.008951,True
humaneval_008,HumanEval/8,claude_model,basic,5,humaneval_008__claude_model__basic__r1.json,humaneval_008__claude_model__basic__r1.json,1,1,9.035088,9.035088,0.0,False
humaneval_008,HumanEval/8,claude_model,concise,5,humaneval_008__claude_model__concise__r1.json,humaneval_008__claude_model__concise__r1.json,1,1,10.020408,10.020408,0.0,False
humaneval_008,HumanEval/8,claude_model,constraint,5,humaneval_008__claude_model__constraint__r1.json,humaneval_008__claude_model__constraint__r1.json,1,1,9.036364,9.036364,0.0,False
humaneval_008,HumanEval/8,claude_model,optimized,5,humaneval_008__claude_model__optimized__r1.json,humaneval_008__claude_model__optimized__r1.json,1,1,9.036364,9.036364,0.0,False
humaneval_008,HumanEval/8,claude_model,readable,5,humaneval_008__claude_model__readable__r1.json,humaneval_008__claude_model__readable__r1.json,1,1,9.035088,9.035088,0.0,False
humaneval_008,HumanEval/8,deepseek_model,basic,5,humaneval_008__deepseek_model__basic__r1.json,humaneval_008__deepseek_model__basic__r2.json,1,2,10.061538,10.059701,0.0018370000000000886,True
humaneval_008,HumanEval/8,deepseek_model,concise,5,humaneval_008__deepseek_model__concise__r1.json,humaneval_008__deepseek_model__concise__r1.json,1,1,10.061538,10.061538,0.0,False
humaneval_008,HumanEval/8,deepseek_model,constraint,5,humaneval_008__deepseek_model__constraint__r1.json,humaneval_008__deepseek_model__constraint__r2.json,1,2,9.036364,9.035088,0.001276000000000721,True
humaneval_008,HumanEval/8,deepseek_model,optimized,5,humaneval_008__deepseek_model__optimized__r1.json,humaneval_008__deepseek_model__optimized__r1.json,1,1,9.036364,9.036364,0.0,False
humaneval_008,HumanEval/8,deepseek_model,readable,5,humaneval_008__deepseek_model__readable__r1.json,humaneval_008__deepseek_model__readable__r1.json,1,1,9.035088,9.035088,0.0,False
humaneval_008,HumanEval/8,gpt5_model,basic,5,humaneval_008__gpt5_model__basic__r1.json,humaneval_008__gpt5_model__basic__r3.json,1,3,9.035088,9.028169,0.0069189999999998975,True
humaneval_008,HumanEval/8,gpt5_model,concise,5,humaneval_008__gpt5_model__concise__r1.json,humaneval_008__gpt5_model__concise__r4.json,1,4,8.017544,8.016949,0.0005949999999987909,True
humaneval_008,HumanEval/8,gpt5_model,constraint,5,humaneval_008__gpt5_model__constraint__r1.json,humaneval_008__gpt5_model__constraint__r2.json,1,2,10.057971,10.027273,0.030698000000001002,True
humaneval_008,HumanEval/8,gpt5_model,optimized,5,humaneval_008__gpt5_model__optimized__r1.json,humaneval_008__gpt5_model__optimized__r1.json,1,1,10.038961,10.038961,0.0,False
humaneval_008,HumanEval/8,gpt5_model,readable,5,humaneval_008__gpt5_model__readable__r1.json,humaneval_008__gpt5_model__readable__r4.json,1,4,10.027273,9.035088,0.9921849999999992,True
humaneval_009,HumanEval/9,claude_model,basic,5,humaneval_009__claude_model__basic__r1.json,humaneval_009__claude_model__basic__r1.json,1,1,12.071429,12.071429,0.0,False
humaneval_009,HumanEval/9,claude_model,concise,5,humaneval_009__claude_model__concise__r1.json,humaneval_009__claude_model__concise__r1.json,1,1,10.035714,10.035714,0.0,False
humaneval_009,HumanEval/9,claude_model,constraint,5,humaneval_009__claude_model__constraint__r1.json,humaneval_009__claude_model__constraint__r1.json,1,1,12.071429,12.071429,0.0,False
humaneval_009,HumanEval/9,claude_model,optimized,5,humaneval_009__claude_model__optimized__r1.json,humaneval_009__claude_model__optimized__r1.json,1,1,12.074627,12.074627,0.0,False
humaneval_009,HumanEval/9,claude_model,readable,5,humaneval_009__claude_model__readable__r1.json,humaneval_009__claude_model__readable__r1.json,1,1,12.072464,12.072464,0.0,False
humaneval_009,HumanEval/9,deepseek_model,basic,5,humaneval_009__deepseek_model__basic__r1.json,humaneval_009__deepseek_model__basic__r1.json,1,1,11.051724,11.051724,0.0,False
humaneval_009,HumanEval/9,deepseek_model,concise,5,humaneval_009__deepseek_model__concise__r1.json,humaneval_009__deepseek_model__concise__r1.json,1,1,11.050847,11.050847,0.0,False
humaneval_009,HumanEval/9,deepseek_model,constraint,5,humaneval_009__deepseek_model__constraint__r1.json,humaneval_009__deepseek_model__constraint__r1.json,1,1,11.050847,11.050847,0.0,False
humaneval_009,HumanEval/9,deepseek_model,optimized,5,humaneval_009__deepseek_model__optimized__r1.json,humaneval_009__deepseek_model__optimized__r1.json,1,1,11.051724,11.051724,0.0,False
humaneval_009,HumanEval/9,deepseek_model,readable,5,humaneval_009__deepseek_model__readable__r1.json,humaneval_009__deepseek_model__readable__r1.json,1,1,11.04918,11.04918,0.0,False
humaneval_009,HumanEval/9,gpt5_model,basic,5,humaneval_009__gpt5_model__basic__r1.json,humaneval_009__gpt5_model__basic__r2.json,1,2,13.061224,12.065789,0.9954349999999987,True
humaneval_009,HumanEval/9,gpt5_model,concise,5,humaneval_009__gpt5_model__concise__r1.json,humaneval_009__gpt5_model__concise__r3.json,1,3,13.061224,12.063291,0.9979329999999997,True
humaneval_009,HumanEval/9,gpt5_model,constraint,5,humaneval_009__gpt5_model__constraint__r1.json,humaneval_009__gpt5_model__constraint__r2.json,1,2,13.054545,13.044118,0.010426999999999964,True
humaneval_009,HumanEval/9,gpt5_model,optimized,5,humaneval_009__gpt5_model__optimized__r1.json,humaneval_009__gpt5_model__optimized__r5.json,1,5,12.056818,11.048544,1.0082740000000001,True
humaneval_009,HumanEval/9,gpt5_model,readable,5,humaneval_009__gpt5_model__readable__r1.json,humaneval_009__gpt5_model__readable__r1.json,1,1,13.045113,13.045113,0.0,False
