file,problem_id,task_id,problem_name,entry_point,model_name,model_id,provider,prompt_name,repeat_idx,ast_status,ast_error_type,ast_error_message,total_nodes,ast_depth,branch_count,loop_count,function_count,control_flow_count,control_flow_ratio,function_names,functional_execution_success,functional_passed,functional_error_type,functional_error_message,functional_traceback,ast_success,z_ast_depth,z_branch_count,z_loop_count,z_function_count,z_control_flow_ratio
humaneval_000__deepseek_model__basic__r3.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,deepseek_model,deepseek-chat,deepseek,basic,3,success,,,63.0,10.0,1.0,1.0,1.0,4.0,0.063492,"[""has_close_elements""]",True,True,,,,True,0.4511355151395842,-0.4832874002075477,0.12528863554427352,-0.3158540555843367,0.11497338761235296
humaneval_000__deepseek_model__basic__r4.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,deepseek_model,deepseek-chat,deepseek,basic,4,success,,,66.0,11.0,1.0,1.0,1.0,4.0,0.060606,"[""has_close_elements""]",True,True,,,,True,1.0403257866659523,-0.4832874002075477,0.12528863554427352,-0.3158540555843367,0.014148162965136045
humaneval_000__deepseek_model__basic__r5.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,deepseek_model,deepseek-chat,deepseek,basic,5,success,,,63.0,10.0,1.0,1.0,1.0,4.0,0.063492,"[""has_close_elements""]",True,True,,,,True,0.4511355151395842,-0.4832874002075477,0.12528863554427352,-0.3158540555843367,0.11497338761235296
humaneval_000__deepseek_model__concise__r1.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,deepseek_model,deepseek-chat,deepseek,concise,1,success,,,63.0,10.0,1.0,1.0,1.0,4.0,0.063492,"[""has_close_elements""]",True,True,,,,True,0.4511355151395842,-0.4832874002075477,0.12528863554427352,-0.3158540555843367,0.11497338761235296
humaneval_000__deepseek_model__concise__r2.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,deepseek_model,deepseek-chat,deepseek,concise,2,success,,,63.0,10.0,1.0,1.0,1.0,4.0,0.063492,"[""has_close_elements""]",True,True,,,,True,0.4511355151395842,-0.4832874002075477,0.12528863554427352,-0.3158540555843367,0.11497338761235296
humaneval_000__deepseek_model__concise__r3.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,deepseek_model,deepseek-chat,deepseek,concise,3,success,,,63.0,10.0,1.0,1.0,1.0,4.0,0.063492,"[""has_close_elements""]",True,True,,,,True,0.4511355151395842,-0.4832874002075477,0.12528863554427352,-0.3158540555843367,0.11497338761235296
humaneval_000__deepseek_model__concise__r4.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,deepseek_model,deepseek-chat,deepseek,concise,4,success,,,63.0,10.0,1.0,1.0,1.0,4.0,0.063492,"[""has_close_elements""]",True,True,,,,True,0.4511355151395842,-0.4832874002075477,0.12528863554427352,-0.3158540555843367,0.11497338761235296
humaneval_000__deepseek_model__concise__r5.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,deepseek_model,deepseek-chat,deepseek,concise,5,success,,,63.0,10.0,1.0,1.0,1.0,4.0,0.063492,"[""has_close_elements""]",True,True,,,,True,0.4511355151395842,-0.4832874002075477,0.12528863554427352,-0.3158540555843367,0.11497338761235296
humaneval_000__deepseek_model__constraint__r1.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,deepseek_model,deepseek-chat,deepseek,constraint,1,success,,,70.0,11.0,1.0,1.0,1.0,4.0,0.057143,"[""has_close_elements""]",True,True,,,,True,1.0403257866659523,-0.4832874002075477,0.12528863554427352,-0.3158540555843367,-0.10683511941646875
humaneval_000__deepseek_model__constraint__r2.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,deepseek_model,deepseek-chat,deepseek,constraint,2,success,,,70.0,11.0,1.0,1.0,1.0,4.0,0.057143,"[""has_close_elements""]",True,True,,,,True,1.0403257866659523,-0.4832874002075477,0.12528863554427352,-0.3158540555843367,-0.10683511941646875
humaneval_000__deepseek_model__constraint__r3.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,deepseek_model,deepseek-chat,deepseek,constraint,3,success,,,74.0,11.0,1.0,2.0,1.0,5.0,0.067568,"[""has_close_elements""]",True,True,,,,True,1.0403257866659523,-0.4832874002075477,1.0292354734376907,-0.3158540555843367,0.2573724228382902
humaneval_000__deepseek_model__constraint__r4.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,deepseek_model,deepseek-chat,deepseek,constraint,4,success,,,74.0,11.0,1.0,2.0,1.0,5.0,0.067568,"[""has_close_elements""]",True,True,,,,True,1.0403257866659523,-0.4832874002075477,1.0292354734376907,-0.3158540555843367,0.2573724228382902
humaneval_000__deepseek_model__constraint__r5.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,deepseek_model,deepseek-chat,deepseek,constraint,5,success,,,67.0,10.0,1.0,1.0,1.0,4.0,0.059701,"[""has_close_elements""]",True,True,,,,True,0.4511355151395842,-0.4832874002075477,0.12528863554427352,-0.3158540555843367,-0.01746889465985751
humaneval_000__deepseek_model__optimized__r1.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,deepseek_model,deepseek-chat,deepseek,optimized,1,success,,,63.0,10.0,1.0,1.0,1.0,4.0,0.063492,"[""has_close_elements""]",True,True,,,,True,0.4511355151395842,-0.4832874002075477,0.12528863554427352,-0.3158540555843367,0.11497338761235296
humaneval_000__deepseek_model__optimized__r2.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,deepseek_model,deepseek-chat,deepseek,optimized,2,success,,,63.0,10.0,1.0,1.0,1.0,4.0,0.063492,"[""has_close_elements""]",True,True,,,,True,0.4511355151395842,-0.4832874002075477,0.12528863554427352,-0.3158540555843367,0.11497338761235296
humaneval_000__deepseek_model__optimized__r3.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,deepseek_model,deepseek-chat,deepseek,optimized,3,success,,,63.0,10.0,1.0,1.0,1.0,4.0,0.063492,"[""has_close_elements""]",True,True,,,,True,0.4511355151395842,-0.4832874002075477,0.12528863554427352,-0.3158540555843367,0.11497338761235296
humaneval_000__deepseek_model__optimized__r4.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,deepseek_model,deepseek-chat,deepseek,optimized,4,success,,,63.0,10.0,1.0,1.0,1.0,4.0,0.063492,"[""has_close_elements""]",True,True,,,,True,0.4511355151395842,-0.4832874002075477,0.12528863554427352,-0.3158540555843367,0.11497338761235296
humaneval_000__deepseek_model__optimized__r5.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,deepseek_model,deepseek-chat,deepseek,optimized,5,success,,,63.0,10.0,1.0,1.0,1.0,4.0,0.063492,"[""has_close_elements""]",True,True,,,,True,0.4511355151395842,-0.4832874002075477,0.12528863554427352,-0.3158540555843367,0.11497338761235296
humaneval_000__deepseek_model__readable__r1.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,deepseek_model,deepseek-chat,deepseek,readable,1,success,,,67.0,10.0,1.0,1.0,1.0,4.0,0.059701,"[""has_close_elements""]",True,True,,,,True,0.4511355151395842,-0.4832874002075477,0.12528863554427352,-0.3158540555843367,-0.01746889465985751
humaneval_000__deepseek_model__readable__r2.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,deepseek_model,deepseek-chat,deepseek,readable,2,success,,,65.0,10.0,1.0,1.0,1.0,4.0,0.061538,"[""has_close_elements""]",True,True,,,,True,0.4511355151395842,-0.4832874002075477,0.12528863554427352,-0.3158540555843367,0.04670849192258794
humaneval_000__deepseek_model__readable__r3.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,deepseek_model,deepseek-chat,deepseek,readable,3,success,,,67.0,10.0,1.0,1.0,1.0,4.0,0.059701,"[""has_close_elements""]",True,True,,,,True,0.4511355151395842,-0.4832874002075477,0.12528863554427352,-0.3158540555843367,-0.01746889465985751
humaneval_000__deepseek_model__readable__r4.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,deepseek_model,deepseek-chat,deepseek,readable,4,success,,,67.0,10.0,1.0,1.0,1.0,4.0,0.059701,"[""has_close_elements""]",True,True,,,,True,0.4511355151395842,-0.4832874002075477,0.12528863554427352,-0.3158540555843367,-0.01746889465985751
humaneval_000__deepseek_model__readable__r5.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,deepseek_model,deepseek-chat,deepseek,readable,5,success,,,67.0,10.0,1.0,1.0,1.0,4.0,0.059701,"[""has_close_elements""]",True,True,,,,True,0.4511355151395842,-0.4832874002075477,0.12528863554427352,-0.3158540555843367,-0.01746889465985751
humaneval_000__gpt5_model__basic__r1.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,gpt5_model,gpt-5-mini,openai,basic,1,success,,,92.0,11.0,3.0,1.0,1.0,8.0,0.086957,"[""has_close_elements""]",True,True,,,,True,1.0403257866659523,0.35271883467210013,0.12528863554427352,-0.3158540555843367,0.9347460474692273
humaneval_000__gpt5_model__basic__r2.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,gpt5_model,gpt-5-mini,openai,basic,2,success,,,106.0,11.0,4.0,1.0,1.0,9.0,0.084906,"[""has_close_elements""]",True,True,,,,True,1.0403257866659523,0.770721952111924,0.12528863554427352,-0.3158540555843367,0.8630923621776672
humaneval_000__gpt5_model__basic__r3.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,gpt5_model,gpt-5-mini,openai,basic,3,success,,,129.0,11.0,5.0,2.0,1.0,13.0,0.100775,"[""has_close_elements""]",True,True,,,,True,1.0403257866659523,1.188725069551748,1.0292354734376907,-0.3158540555843367,1.4174913538362544
humaneval_000__gpt5_model__basic__r4.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,gpt5_model,gpt-5-mini,openai,basic,4,success,,,92.0,11.0,3.0,1.0,1.0,8.0,0.086957,"[""has_close_elements""]",True,True,,,,True,1.0403257866659523,0.35271883467210013,0.12528863554427352,-0.3158540555843367,0.9347460474692273
humaneval_000__gpt5_model__basic__r5.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,gpt5_model,gpt-5-mini,openai,basic,5,success,,,92.0,11.0,3.0,1.0,1.0,8.0,0.086957,"[""has_close_elements""]",True,True,,,,True,1.0403257866659523,0.35271883467210013,0.12528863554427352,-0.3158540555843367,0.9347460474692273
humaneval_000__gpt5_model__concise__r1.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,gpt5_model,gpt-5-mini,openai,concise,1,success,,,89.0,10.0,3.0,1.0,1.0,8.0,0.089888,"[""has_close_elements""]",True,True,,,,True,0.4511355151395842,0.35271883467210013,0.12528863554427352,-0.3158540555843367,1.0371433910038743
humaneval_000__gpt5_model__concise__r2.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,gpt5_model,gpt-5-mini,openai,concise,2,success,,,94.0,8.0,3.0,1.0,1.0,8.0,0.085106,"[""has_close_elements""]",True,True,,,,True,-0.7272450279131517,0.35271883467210013,0.12528863554427352,-0.3158540555843367,0.8700795572329145
humaneval_000__gpt5_model__concise__r3.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,gpt5_model,gpt-5-mini,openai,concise,3,success,,,97.0,10.0,3.0,1.0,1.0,8.0,0.082474,"[""has_close_elements""]",True,True,,,,True,0.4511355151395842,0.35271883467210013,0.12528863554427352,-0.3158540555843367,0.778128070305862
humaneval_000__gpt5_model__concise__r4.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,gpt5_model,gpt-5-mini,openai,concise,4,success,,,97.0,10.0,3.0,1.0,1.0,8.0,0.082474,"[""has_close_elements""]",True,True,,,,True,0.4511355151395842,0.35271883467210013,0.12528863554427352,-0.3158540555843367,0.778128070305862
humaneval_000__gpt5_model__concise__r5.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,gpt5_model,gpt-5-mini,openai,concise,5,success,,,90.0,9.0,3.0,1.0,1.0,8.0,0.088889,"[""has_close_elements""]",True,True,,,,True,-0.13805475638678374,0.35271883467210013,0.12528863554427352,-0.3158540555843367,1.0022423517029146
humaneval_000__gpt5_model__constraint__r1.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,gpt5_model,gpt-5-mini,openai,constraint,1,success,,,129.0,11.0,4.0,1.0,1.0,9.0,0.069767,"[""has_close_elements""]",True,True,,,,True,1.0403257866659523,0.770721952111924,0.12528863554427352,-0.3158540555843367,0.33419663247073256
humaneval_000__gpt5_model__constraint__r2.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,gpt5_model,gpt-5-mini,openai,constraint,2,success,,,106.0,11.0,4.0,1.0,1.0,9.0,0.084906,"[""has_close_elements""]",True,True,,,,True,1.0403257866659523,0.770721952111924,0.12528863554427352,-0.3158540555843367,0.8630923621776672
humaneval_000__gpt5_model__constraint__r3.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,gpt5_model,gpt-5-mini,openai,constraint,3,success,,,86.0,10.0,3.0,1.0,1.0,8.0,0.093023,"[""has_close_elements""]",True,True,,,,True,0.4511355151395842,0.35271883467210013,0.12528863554427352,-0.3158540555843367,1.1466676734948735
humaneval_000__gpt5_model__constraint__r4.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,gpt5_model,gpt-5-mini,openai,constraint,4,success,,,100.0,10.0,4.0,1.0,1.0,9.0,0.09,"[""has_close_elements""]",True,True,,,,True,0.4511355151395842,0.770721952111924,0.12528863554427352,-0.3158540555843367,1.0410562202348126
humaneval_000__gpt5_model__constraint__r5.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,gpt5_model,gpt-5-mini,openai,constraint,5,success,,,93.0,11.0,3.0,1.0,1.0,7.0,0.075269,"[""has_close_elements""]",True,True,,,,True,1.0403257866659523,0.35271883467210013,0.12528863554427352,-0.3158540555843367,0.5264143684405825
humaneval_000__gpt5_model__optimized__r1.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,gpt5_model,gpt-5-mini,openai,optimized,1,success,,,97.0,10.0,3.0,1.0,1.0,8.0,0.082474,"[""has_close_elements""]",True,True,,,,True,0.4511355151395842,0.35271883467210013,0.12528863554427352,-0.3158540555843367,0.778128070305862
humaneval_000__gpt5_model__optimized__r2.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,gpt5_model,gpt-5-mini,openai,optimized,2,success,,,114.0,8.0,4.0,1.0,1.0,9.0,0.078947,"[""has_close_elements""]",True,True,,,,True,-0.7272450279131517,0.770721952111924,0.12528863554427352,-0.3158540555843367,0.654908885506578
humaneval_000__gpt5_model__optimized__r3.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,gpt5_model,gpt-5-mini,openai,optimized,3,success,,,145.0,8.0,4.0,1.0,1.0,9.0,0.062069,"[""has_close_elements""]",True,True,,,,True,-0.7272450279131517,0.770721952111924,0.12528863554427352,-0.3158540555843367,0.06525949479426907
humaneval_000__gpt5_model__optimized__r4.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,gpt5_model,gpt-5-mini,openai,optimized,4,success,,,135.0,10.0,5.0,2.0,1.0,13.0,0.096296,"[""has_close_elements""]",True,True,,,,True,0.4511355151395842,1.188725069551748,1.0292354734376907,-0.3158540555843367,1.261013120573994
humaneval_000__gpt5_model__optimized__r5.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,gpt5_model,gpt-5-mini,openai,optimized,5,success,,,111.0,10.0,4.0,1.0,1.0,9.0,0.081081,"[""has_close_elements""]",True,True,,,,True,0.4511355151395842,0.770721952111924,0.12528863554427352,-0.3158540555843367,0.7294622567460652
humaneval_000__gpt5_model__readable__r1.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,gpt5_model,gpt-5-mini,openai,readable,1,success,,,124.0,10.0,4.0,1.0,1.0,9.0,0.072581,"[""has_close_elements""]",True,True,,,,True,0.4511355151395842,0.770721952111924,0.12528863554427352,-0.3158540555843367,0.43250646689806066
humaneval_000__gpt5_model__readable__r2.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,gpt5_model,gpt-5-mini,openai,readable,2,success,,,92.0,11.0,3.0,1.0,1.0,8.0,0.086957,"[""has_close_elements""]",True,True,,,,True,1.0403257866659523,0.35271883467210013,0.12528863554427352,-0.3158540555843367,0.9347460474692273
humaneval_000__gpt5_model__readable__r3.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,gpt5_model,gpt-5-mini,openai,readable,3,success,,,161.0,9.0,4.0,1.0,1.0,9.0,0.055901,"[""has_close_elements""]",True,True,,,,True,-0.13805475638678374,0.770721952111924,0.12528863554427352,-0.3158540555843367,-0.15022560070955368
humaneval_000__gpt5_model__readable__r4.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,gpt5_model,gpt-5-mini,openai,readable,4,success,,,168.0,8.0,4.0,1.0,1.0,9.0,0.053571,"[""has_close_elements""]",True,True,,,,True,-0.7272450279131517,0.770721952111924,0.12528863554427352,-0.3158540555843367,-0.23162642310318318
humaneval_000__gpt5_model__readable__r5.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,gpt5_model,gpt-5-mini,openai,readable,5,success,,,79.0,11.0,2.0,1.0,1.0,6.0,0.075949,"[""has_close_elements""]",True,True,,,,True,1.0403257866659523,-0.0652842827677238,0.12528863554427352,-0.3158540555843367,0.5501708316284228
humaneval_001__claude_model__basic__r1.json,humaneval_001,HumanEval/1,Separate Paren Groups,separate_paren_groups,claude_model,claude-sonnet-4-6,anthropic,basic,1,success,,,107.0,11.0,3.0,1.0,1.0,5.0,0.046729,"[""separate_paren_groups""]",True,True,,,,True,1.0403257866659523,0.35271883467210013,0.12528863554427352,-0.3158540555843367,-0.47065836594318894
