file,problem_id,task_id,problem_name,entry_point,model_name,model_id,provider,prompt_name,repeat_idx,ast_status,ast_error_type,ast_error_message,total_nodes,ast_depth,branch_count,loop_count,function_count,control_flow_count,control_flow_ratio,function_names,functional_execution_success,functional_passed,functional_error_type,functional_error_message,ast_success,z_ast_depth,z_branch_count,z_loop_count,z_function_count,z_control_flow_ratio
humaneval_000__claude_model__paraphrase__paraphrase_c__r1.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,claude_model,claude-sonnet-4-6,anthropic,paraphrase_c,1,success,,,72.0,11.0,1.0,2.0,1.0,5.0,0.069444,"[""has_close_elements""]",True,True,,,True,0.9753596899405581,-0.4166835030969129,1.20807958800039,-0.31167166746947106,0.33803486163464774
humaneval_000__claude_model__paraphrase__paraphrase_c__r2.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,claude_model,claude-sonnet-4-6,anthropic,paraphrase_c,2,success,,,72.0,11.0,1.0,2.0,1.0,5.0,0.069444,"[""has_close_elements""]",True,True,,,True,0.9753596899405581,-0.4166835030969129,1.20807958800039,-0.31167166746947106,0.33803486163464774
humaneval_000__claude_model__paraphrase__paraphrase_c__r3.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,claude_model,claude-sonnet-4-6,anthropic,paraphrase_c,3,success,,,72.0,11.0,1.0,2.0,1.0,5.0,0.069444,"[""has_close_elements""]",True,True,,,True,0.9753596899405581,-0.4166835030969129,1.20807958800039,-0.31167166746947106,0.33803486163464774
humaneval_000__claude_model__paraphrase__paraphrase_c__r4.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,claude_model,claude-sonnet-4-6,anthropic,paraphrase_c,4,success,,,72.0,11.0,1.0,2.0,1.0,5.0,0.069444,"[""has_close_elements""]",True,True,,,True,0.9753596899405581,-0.4166835030969129,1.20807958800039,-0.31167166746947106,0.33803486163464774
humaneval_000__claude_model__paraphrase__paraphrase_c__r5.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,claude_model,claude-sonnet-4-6,anthropic,paraphrase_c,5,success,,,72.0,11.0,1.0,2.0,1.0,5.0,0.069444,"[""has_close_elements""]",True,True,,,True,0.9753596899405581,-0.4166835030969129,1.20807958800039,-0.31167166746947106,0.33803486163464774
humaneval_000__claude_model__paraphrase__paraphrase_d__r1.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,claude_model,claude-sonnet-4-6,anthropic,paraphrase_d,1,success,,,70.0,11.0,1.0,2.0,1.0,5.0,0.071429,"[""has_close_elements""]",True,True,,,True,0.9753596899405581,-0.4166835030969129,1.20807958800039,-0.31167166746947106,0.406658095752565
humaneval_000__claude_model__paraphrase__paraphrase_d__r2.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,claude_model,claude-sonnet-4-6,anthropic,paraphrase_d,2,success,,,70.0,11.0,1.0,2.0,1.0,5.0,0.071429,"[""has_close_elements""]",True,True,,,True,0.9753596899405581,-0.4166835030969129,1.20807958800039,-0.31167166746947106,0.406658095752565
humaneval_000__claude_model__paraphrase__paraphrase_d__r3.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,claude_model,claude-sonnet-4-6,anthropic,paraphrase_d,3,success,,,70.0,11.0,1.0,2.0,1.0,5.0,0.071429,"[""has_close_elements""]",True,True,,,True,0.9753596899405581,-0.4166835030969129,1.20807958800039,-0.31167166746947106,0.406658095752565
humaneval_000__claude_model__paraphrase__paraphrase_d__r4.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,claude_model,claude-sonnet-4-6,anthropic,paraphrase_d,4,success,,,70.0,11.0,1.0,2.0,1.0,5.0,0.071429,"[""has_close_elements""]",True,True,,,True,0.9753596899405581,-0.4166835030969129,1.20807958800039,-0.31167166746947106,0.406658095752565
humaneval_000__claude_model__paraphrase__paraphrase_d__r5.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,claude_model,claude-sonnet-4-6,anthropic,paraphrase_d,5,success,,,70.0,11.0,1.0,2.0,1.0,5.0,0.071429,"[""has_close_elements""]",True,True,,,True,0.9753596899405581,-0.4166835030969129,1.20807958800039,-0.31167166746947106,0.406658095752565
humaneval_000__claude_model__paraphrase__paraphrase_e__r1.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,claude_model,claude-sonnet-4-6,anthropic,paraphrase_e,1,success,,,72.0,11.0,1.0,2.0,1.0,5.0,0.069444,"[""has_close_elements""]",True,True,,,True,0.9753596899405581,-0.4166835030969129,1.20807958800039,-0.31167166746947106,0.33803486163464774
humaneval_000__claude_model__paraphrase__paraphrase_e__r2.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,claude_model,claude-sonnet-4-6,anthropic,paraphrase_e,2,success,,,72.0,11.0,1.0,2.0,1.0,5.0,0.069444,"[""has_close_elements""]",True,True,,,True,0.9753596899405581,-0.4166835030969129,1.20807958800039,-0.31167166746947106,0.33803486163464774
humaneval_000__claude_model__paraphrase__paraphrase_e__r3.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,claude_model,claude-sonnet-4-6,anthropic,paraphrase_e,3,success,,,72.0,11.0,1.0,2.0,1.0,5.0,0.069444,"[""has_close_elements""]",True,True,,,True,0.9753596899405581,-0.4166835030969129,1.20807958800039,-0.31167166746947106,0.33803486163464774
humaneval_000__claude_model__paraphrase__paraphrase_e__r4.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,claude_model,claude-sonnet-4-6,anthropic,paraphrase_e,4,success,,,72.0,11.0,1.0,2.0,1.0,5.0,0.069444,"[""has_close_elements""]",True,True,,,True,0.9753596899405581,-0.4166835030969129,1.20807958800039,-0.31167166746947106,0.33803486163464774
humaneval_000__claude_model__paraphrase__paraphrase_e__r5.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,claude_model,claude-sonnet-4-6,anthropic,paraphrase_e,5,success,,,72.0,11.0,1.0,2.0,1.0,5.0,0.069444,"[""has_close_elements""]",True,True,,,True,0.9753596899405581,-0.4166835030969129,1.20807958800039,-0.31167166746947106,0.33803486163464774
humaneval_000__deepseek_model__paraphrase__paraphrase_a__r1.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,deepseek_model,deepseek-flash,deepseek,paraphrase_a,1,success,,,72.0,11.0,1.0,2.0,1.0,5.0,0.069444,"[""has_close_elements""]",True,True,,,True,0.9753596899405581,-0.4166835030969129,1.20807958800039,-0.31167166746947106,0.33803486163464774
humaneval_000__deepseek_model__paraphrase__paraphrase_a__r2.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,deepseek_model,deepseek-flash,deepseek,paraphrase_a,2,success,,,72.0,11.0,1.0,2.0,1.0,5.0,0.069444,"[""has_close_elements""]",True,True,,,True,0.9753596899405581,-0.4166835030969129,1.20807958800039,-0.31167166746947106,0.33803486163464774
humaneval_000__deepseek_model__paraphrase__paraphrase_a__r3.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,deepseek_model,deepseek-flash,deepseek,paraphrase_a,3,success,,,72.0,11.0,1.0,2.0,1.0,5.0,0.069444,"[""has_close_elements""]",True,True,,,True,0.9753596899405581,-0.4166835030969129,1.20807958800039,-0.31167166746947106,0.33803486163464774
humaneval_000__deepseek_model__paraphrase__paraphrase_a__r4.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,deepseek_model,deepseek-flash,deepseek,paraphrase_a,4,success,,,72.0,11.0,1.0,2.0,1.0,5.0,0.069444,"[""has_close_elements""]",True,True,,,True,0.9753596899405581,-0.4166835030969129,1.20807958800039,-0.31167166746947106,0.33803486163464774
humaneval_000__deepseek_model__paraphrase__paraphrase_a__r5.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,deepseek_model,deepseek-flash,deepseek,paraphrase_a,5,success,,,72.0,11.0,1.0,2.0,1.0,5.0,0.069444,"[""has_close_elements""]",True,True,,,True,0.9753596899405581,-0.4166835030969129,1.20807958800039,-0.31167166746947106,0.33803486163464774
humaneval_000__deepseek_model__paraphrase__paraphrase_b__r1.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,deepseek_model,deepseek-flash,deepseek,paraphrase_b,1,success,,,65.0,10.0,1.0,1.0,1.0,4.0,0.061538,"[""has_close_elements""]",True,True,,,True,0.4053099538939863,-0.4166835030969129,0.24087621279762858,-0.31167166746947106,0.06471733572217717
humaneval_000__deepseek_model__paraphrase__paraphrase_b__r2.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,deepseek_model,deepseek-flash,deepseek,paraphrase_b,2,success,,,72.0,11.0,1.0,2.0,1.0,5.0,0.069444,"[""has_close_elements""]",True,True,,,True,0.9753596899405581,-0.4166835030969129,1.20807958800039,-0.31167166746947106,0.33803486163464774
humaneval_000__deepseek_model__paraphrase__paraphrase_b__r3.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,deepseek_model,deepseek-flash,deepseek,paraphrase_b,3,success,,,65.0,10.0,1.0,1.0,1.0,4.0,0.061538,"[""has_close_elements""]",True,True,,,True,0.4053099538939863,-0.4166835030969129,0.24087621279762858,-0.31167166746947106,0.06471733572217717
humaneval_000__deepseek_model__paraphrase__paraphrase_b__r4.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,deepseek_model,deepseek-flash,deepseek,paraphrase_b,4,success,,,65.0,10.0,1.0,1.0,1.0,4.0,0.061538,"[""has_close_elements""]",True,True,,,True,0.4053099538939863,-0.4166835030969129,0.24087621279762858,-0.31167166746947106,0.06471733572217717
humaneval_000__deepseek_model__paraphrase__paraphrase_b__r5.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,deepseek_model,deepseek-flash,deepseek,paraphrase_b,5,success,,,68.0,11.0,1.0,1.0,1.0,4.0,0.058824,"[""has_close_elements""]",True,True,,,True,0.9753596899405581,-0.4166835030969129,0.24087621279762858,-0.31167166746947106,-0.02910808362090974
humaneval_000__deepseek_model__paraphrase__paraphrase_c__r1.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,deepseek_model,deepseek-flash,deepseek,paraphrase_c,1,success,,,65.0,10.0,1.0,1.0,1.0,4.0,0.061538,"[""has_close_elements""]",True,True,,,True,0.4053099538939863,-0.4166835030969129,0.24087621279762858,-0.31167166746947106,0.06471733572217717
humaneval_000__deepseek_model__paraphrase__paraphrase_c__r2.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,deepseek_model,deepseek-flash,deepseek,paraphrase_c,2,success,,,67.0,10.0,1.0,1.0,1.0,4.0,0.059701,"[""has_close_elements""]",True,True,,,True,0.4053099538939863,-0.4166835030969129,0.24087621279762858,-0.31167166746947106,0.0012105946266535589
humaneval_000__deepseek_model__paraphrase__paraphrase_c__r3.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,deepseek_model,deepseek-flash,deepseek,paraphrase_c,3,success,,,67.0,10.0,1.0,1.0,1.0,4.0,0.059701,"[""has_close_elements""]",True,True,,,True,0.4053099538939863,-0.4166835030969129,0.24087621279762858,-0.31167166746947106,0.0012105946266535589
humaneval_000__deepseek_model__paraphrase__paraphrase_c__r4.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,deepseek_model,deepseek-flash,deepseek,paraphrase_c,4,success,,,67.0,10.0,1.0,1.0,1.0,4.0,0.059701,"[""has_close_elements""]",True,True,,,True,0.4053099538939863,-0.4166835030969129,0.24087621279762858,-0.31167166746947106,0.0012105946266535589
humaneval_000__deepseek_model__paraphrase__paraphrase_c__r5.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,deepseek_model,deepseek-flash,deepseek,paraphrase_c,5,success,,,72.0,11.0,1.0,2.0,1.0,5.0,0.069444,"[""has_close_elements""]",True,True,,,True,0.9753596899405581,-0.4166835030969129,1.20807958800039,-0.31167166746947106,0.33803486163464774
humaneval_000__deepseek_model__paraphrase__paraphrase_d__r1.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,deepseek_model,deepseek-flash,deepseek,paraphrase_d,1,success,,,67.0,10.0,1.0,1.0,1.0,4.0,0.059701,"[""has_close_elements""]",True,True,,,True,0.4053099538939863,-0.4166835030969129,0.24087621279762858,-0.31167166746947106,0.0012105946266535589
humaneval_000__deepseek_model__paraphrase__paraphrase_d__r2.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,deepseek_model,deepseek-flash,deepseek,paraphrase_d,2,success,,,70.0,11.0,1.0,1.0,1.0,4.0,0.057143,"[""has_close_elements""]",True,True,,,True,0.9753596899405581,-0.4166835030969129,0.24087621279762858,-0.31167166746947106,-0.08722176450363973
humaneval_000__deepseek_model__paraphrase__paraphrase_d__r3.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,deepseek_model,deepseek-flash,deepseek,paraphrase_d,3,success,,,70.0,11.0,1.0,1.0,1.0,4.0,0.057143,"[""has_close_elements""]",True,True,,,True,0.9753596899405581,-0.4166835030969129,0.24087621279762858,-0.31167166746947106,-0.08722176450363973
humaneval_000__deepseek_model__paraphrase__paraphrase_d__r4.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,deepseek_model,deepseek-flash,deepseek,paraphrase_d,4,success,,,72.0,11.0,1.0,2.0,1.0,5.0,0.069444,"[""has_close_elements""]",True,True,,,True,0.9753596899405581,-0.4166835030969129,1.20807958800039,-0.31167166746947106,0.33803486163464774
humaneval_000__deepseek_model__paraphrase__paraphrase_d__r5.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,deepseek_model,deepseek-flash,deepseek,paraphrase_d,5,success,,,72.0,11.0,1.0,2.0,1.0,5.0,0.069444,"[""has_close_elements""]",True,True,,,True,0.9753596899405581,-0.4166835030969129,1.20807958800039,-0.31167166746947106,0.33803486163464774
humaneval_000__deepseek_model__paraphrase__paraphrase_e__r1.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,deepseek_model,deepseek-flash,deepseek,paraphrase_e,1,success,,,72.0,11.0,1.0,2.0,1.0,5.0,0.069444,"[""has_close_elements""]",True,True,,,True,0.9753596899405581,-0.4166835030969129,1.20807958800039,-0.31167166746947106,0.33803486163464774
humaneval_000__deepseek_model__paraphrase__paraphrase_e__r2.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,deepseek_model,deepseek-flash,deepseek,paraphrase_e,2,success,,,72.0,11.0,1.0,2.0,1.0,5.0,0.069444,"[""has_close_elements""]",True,True,,,True,0.9753596899405581,-0.4166835030969129,1.20807958800039,-0.31167166746947106,0.33803486163464774
humaneval_000__deepseek_model__paraphrase__paraphrase_e__r3.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,deepseek_model,deepseek-flash,deepseek,paraphrase_e,3,success,,,65.0,10.0,1.0,1.0,1.0,4.0,0.061538,"[""has_close_elements""]",True,True,,,True,0.4053099538939863,-0.4166835030969129,0.24087621279762858,-0.31167166746947106,0.06471733572217717
humaneval_000__deepseek_model__paraphrase__paraphrase_e__r4.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,deepseek_model,deepseek-flash,deepseek,paraphrase_e,4,success,,,72.0,11.0,1.0,2.0,1.0,5.0,0.069444,"[""has_close_elements""]",True,True,,,True,0.9753596899405581,-0.4166835030969129,1.20807958800039,-0.31167166746947106,0.33803486163464774
humaneval_000__deepseek_model__paraphrase__paraphrase_e__r5.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,deepseek_model,deepseek-flash,deepseek,paraphrase_e,5,success,,,65.0,10.0,1.0,1.0,1.0,4.0,0.061538,"[""has_close_elements""]",True,True,,,True,0.4053099538939863,-0.4166835030969129,0.24087621279762858,-0.31167166746947106,0.06471733572217717
humaneval_000__gpt5_model__paraphrase__paraphrase_a__r1.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,gpt5_model,gpt-5-mini,openai,paraphrase_a,1,success,,,92.0,11.0,3.0,1.0,1.0,8.0,0.086957,"[""has_close_elements""]",True,True,,,True,0.9753596899405581,0.42386416415471295,0.24087621279762858,-0.31167166746947106,0.9434750123183178
humaneval_000__gpt5_model__paraphrase__paraphrase_a__r2.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,gpt5_model,gpt-5-mini,openai,paraphrase_a,2,success,,,92.0,11.0,3.0,1.0,1.0,8.0,0.086957,"[""has_close_elements""]",True,True,,,True,0.9753596899405581,0.42386416415471295,0.24087621279762858,-0.31167166746947106,0.9434750123183178
humaneval_000__gpt5_model__paraphrase__paraphrase_a__r3.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,gpt5_model,gpt-5-mini,openai,paraphrase_a,3,success,,,106.0,11.0,4.0,1.0,1.0,9.0,0.084906,"[""has_close_elements""]",True,True,,,True,0.9753596899405581,0.8441379977805259,0.24087621279762858,-0.31167166746947106,0.8725700988796028
humaneval_000__gpt5_model__paraphrase__paraphrase_a__r4.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,gpt5_model,gpt-5-mini,openai,paraphrase_a,4,success,,,140.0,10.0,6.0,2.0,1.0,14.0,0.1,"[""has_close_elements""]",True,True,,,True,0.4053099538939863,1.6846856650321518,1.20807958800039,-0.31167166746947106,1.394383245366174
humaneval_000__gpt5_model__paraphrase__paraphrase_a__r5.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,gpt5_model,gpt-5-mini,openai,paraphrase_a,5,success,,,92.0,11.0,3.0,1.0,1.0,8.0,0.086957,"[""has_close_elements""]",True,True,,,True,0.9753596899405581,0.42386416415471295,0.24087621279762858,-0.31167166746947106,0.9434750123183178
humaneval_000__gpt5_model__paraphrase__paraphrase_b__r1.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,gpt5_model,gpt-5-mini,openai,paraphrase_b,1,success,,,92.0,11.0,3.0,1.0,1.0,8.0,0.086957,"[""has_close_elements""]",True,True,,,True,0.9753596899405581,0.42386416415471295,0.24087621279762858,-0.31167166746947106,0.9434750123183178
humaneval_000__gpt5_model__paraphrase__paraphrase_b__r2.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,gpt5_model,gpt-5-mini,openai,paraphrase_b,2,success,,,89.0,11.0,2.0,1.0,1.0,6.0,0.067416,"[""has_close_elements""]",True,True,,,True,0.9753596899405581,0.0035903305289000246,0.24087621279762858,-0.31167166746947106,0.26792507886833217
humaneval_000__gpt5_model__paraphrase__paraphrase_b__r3.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,gpt5_model,gpt-5-mini,openai,paraphrase_b,3,success,,,92.0,11.0,3.0,1.0,1.0,8.0,0.086957,"[""has_close_elements""]",True,True,,,True,0.9753596899405581,0.42386416415471295,0.24087621279762858,-0.31167166746947106,0.9434750123183178
humaneval_000__gpt5_model__paraphrase__paraphrase_b__r4.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,gpt5_model,gpt-5-mini,openai,paraphrase_b,4,success,,,92.0,11.0,3.0,1.0,1.0,8.0,0.086957,"[""has_close_elements""]",True,True,,,True,0.9753596899405581,0.42386416415471295,0.24087621279762858,-0.31167166746947106,0.9434750123183178
humaneval_000__gpt5_model__paraphrase__paraphrase_b__r5.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,gpt5_model,gpt-5-mini,openai,paraphrase_b,5,success,,,92.0,11.0,3.0,1.0,1.0,8.0,0.086957,"[""has_close_elements""]",True,True,,,True,0.9753596899405581,0.42386416415471295,0.24087621279762858,-0.31167166746947106,0.9434750123183178
humaneval_000__gpt5_model__paraphrase__paraphrase_c__r1.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,gpt5_model,gpt-5-mini,openai,paraphrase_c,1,success,,,106.0,11.0,4.0,1.0,1.0,9.0,0.084906,"[""has_close_elements""]",True,True,,,True,0.9753596899405581,0.8441379977805259,0.24087621279762858,-0.31167166746947106,0.8725700988796028
humaneval_000__gpt5_model__paraphrase__paraphrase_c__r2.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,gpt5_model,gpt-5-mini,openai,paraphrase_c,2,success,,,106.0,11.0,4.0,1.0,1.0,9.0,0.084906,"[""has_close_elements""]",True,True,,,True,0.9753596899405581,0.8441379977805259,0.24087621279762858,-0.31167166746947106,0.8725700988796028
humaneval_000__gpt5_model__paraphrase__paraphrase_c__r3.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,gpt5_model,gpt-5-mini,openai,paraphrase_c,3,success,,,106.0,11.0,4.0,1.0,1.0,9.0,0.084906,"[""has_close_elements""]",True,True,,,True,0.9753596899405581,0.8441379977805259,0.24087621279762858,-0.31167166746947106,0.8725700988796028
humaneval_000__gpt5_model__paraphrase__paraphrase_c__r4.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,gpt5_model,gpt-5-mini,openai,paraphrase_c,4,success,,,106.0,11.0,4.0,1.0,1.0,9.0,0.084906,"[""has_close_elements""]",True,True,,,True,0.9753596899405581,0.8441379977805259,0.24087621279762858,-0.31167166746947106,0.8725700988796028
humaneval_000__gpt5_model__paraphrase__paraphrase_c__r5.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,gpt5_model,gpt-5-mini,openai,paraphrase_c,5,success,,,115.0,12.0,3.0,1.0,1.0,8.0,0.069565,"[""has_close_elements""]",True,False,fail,,True,1.5454094259871298,0.42386416415471295,0.24087621279762858,-0.31167166746947106,0.34221794038944253
humaneval_000__gpt5_model__paraphrase__paraphrase_d__r1.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,gpt5_model,gpt-5-mini,openai,paraphrase_d,1,success,,,89.0,10.0,3.0,1.0,1.0,8.0,0.089888,"[""has_close_elements""]",True,True,,,True,0.4053099538939863,0.42386416415471295,0.24087621279762858,-0.31167166746947106,1.0448023167009952
humaneval_000__gpt5_model__paraphrase__paraphrase_d__r2.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,gpt5_model,gpt-5-mini,openai,paraphrase_d,2,success,,,92.0,11.0,3.0,1.0,1.0,8.0,0.086957,"[""has_close_elements""]",True,True,,,True,0.9753596899405581,0.42386416415471295,0.24087621279762858,-0.31167166746947106,0.9434750123183178
humaneval_000__gpt5_model__paraphrase__paraphrase_d__r3.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,gpt5_model,gpt-5-mini,openai,paraphrase_d,3,success,,,92.0,11.0,3.0,1.0,1.0,8.0,0.086957,"[""has_close_elements""]",True,True,,,True,0.9753596899405581,0.42386416415471295,0.24087621279762858,-0.31167166746947106,0.9434750123183178
humaneval_000__gpt5_model__paraphrase__paraphrase_d__r4.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,gpt5_model,gpt-5-mini,openai,paraphrase_d,4,success,,,89.0,10.0,3.0,1.0,1.0,8.0,0.089888,"[""has_close_elements""]",True,True,,,True,0.4053099538939863,0.42386416415471295,0.24087621279762858,-0.31167166746947106,1.0448023167009952
humaneval_000__gpt5_model__paraphrase__paraphrase_d__r5.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,gpt5_model,gpt-5-mini,openai,paraphrase_d,5,success,,,92.0,11.0,3.0,1.0,1.0,8.0,0.086957,"[""has_close_elements""]",True,True,,,True,0.9753596899405581,0.42386416415471295,0.24087621279762858,-0.31167166746947106,0.9434750123183178
humaneval_000__gpt5_model__paraphrase__paraphrase_e__r1.json,humaneval_000,HumanEval/0,Has Close Elements,has_close_elements,gpt5_model,gpt-5-mini,openai,paraphrase_e,1,success,,,143.0,11.0,6.0,2.0,1.0,14.0,0.097902,"[""has_close_elements""]",True,True,,,True,0.9753596899405581,1.6846856650321518,1.20807958800039,-0.31167166746947106,1.3218534996838613
